iterations,voters,mean,mean_bucket,std,majority_correct_with_equal_expertise,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal
1000,51,0.6,,0.08,0.928,,,,,
1000,3,0.6,,0.1,0.651,,,,,
1000,5,0.6,,0.1,0.694,,,,,
1000,7,0.6,,0.1,0.697,,,,,
1000,9,0.6,,0.1,0.715,,,,,
1000,11,0.6,,0.1,0.753,,,,,
1000,21,0.6,,0.1,0.817,,,,,
1000,31,0.6,,0.1,0.844,,,,,
1000,41,0.6,,0.1,0.899,,,,,
1000,51,0.6,,0.1,0.93,,,,,
1000,3,0.6,,0.11,0.638,,,,,
1000,5,0.6,,0.11,0.685,,,,,
1000,7,0.6,,0.11,0.705,,,,,
1000,9,0.6,,0.11,0.733,,,,,
1000,11,0.6,,0.11,0.77,,,,,
1000,21,0.6,,0.11,0.833,,,,,
1000,31,0.6,,0.11,0.869,,,,,
1000,41,0.6,,0.11,0.902,,,,,
1000,51,0.6,,0.11,0.922,,,,,
1000,3,0.6,,0.12,0.633,,,,,
1000,5,0.6,,0.12,0.668,,,,,
1000,7,0.6,,0.12,0.7,,,,,
1000,9,0.6,,0.12,0.73,,,,,
1000,11,0.6,,0.12,0.749,,,,,
1000,21,0.6,,0.12,0.845,,,,,
1000,31,0.6,,0.12,0.863,,,,,
1000,41,0.6,,0.12,0.91,,,,,
1000,51,0.6,,0.12,0.921,,,,,
1000,3,0.7,,0.02,0.768,,,,,
1000,5,0.7,,0.02,0.833,,,,,
1000,7,0.7,,0.02,0.874,,,,,
1000,9,0.7,,0.02,0.913,,,,,
1000,11,0.7,,0.02,0.922,,,,,
1000,21,0.7,,0.02,0.984,,,,,
1000,31,0.7,,0.02,0.99,,,,,
1000,41,0.7,,0.02,0.997,,,,,
1000,51,0.7,,0.02,0.997,,,,,
1000,3,0.7,,0.03,0.778,,,,,
1000,5,0.7,,0.03,0.84,,,,,
1000,7,0.7,,0.03,0.888,,,,,
1000,9,0.7,,0.03,0.898,,,,,
1000,11,0.7,,0.03,0.902,,,,,
1000,21,0.7,,0.03,0.972,,,,,
1000,31,0.7,,0.03,0.988,,,,,
1000,41,0.7,,0.03,0.993,,,,,
1000,51,0.7,,0.03,0.999,,,,,
1000,3,0.7,,0.04,0.777,,,,,
1000,5,0.7,,0.04,0.852,,,,,
1000,7,0.7,,0.04,0.866,,,,,
1000,9,0.7,,0.04,0.915,,,,,
1000,11,0.7,,0.04,0.919,,,,,
1000,21,0.7,,0.04,0.97,,,,,
1000,31,0.7,,0.04,0.99,,,,,
1000,41,0.7,,0.04,0.99,,,,,
1000,51,0.7,,0.04,0.999,,,,,
1000,3,0.7,,0.06,0.78,,,,,
1000,5,0.7,,0.06,0.818,,,,,
1000,7,0.7,,0.06,0.876,,,,,
1000,9,0.7,,0.06,0.898,,,,,
1000,11,0.7,,0.06,0.919,,,,,
1000,21,0.7,,0.06,0.97,,,,,
1000,31,0.7,,0.06,0.988,,,,,
1000,41,0.7,,0.06,0.995,,,,,
1000,51,0.7,,0.06,1,,,,,
1000,3,0.7,,0.07,0.796,,,,,
1000,5,0.7,,0.07,0.832,,,,,
1000,7,0.7,,0.07,0.857,,,,,
1000,9,0.7,,0.07,0.887,,,,,
1000,11,0.7,,0.07,0.942,,,,,
1000,21,0.7,,0.07,0.98,,,,,
1000,31,0.7,,0.07,0.987,,,,,
1000,41,0.7,,0.07,0.997,,,,,
1000,51,0.7,,0.07,0.996,,,,,
1000,3,0.7,,0.08,0.756,,,,,
1000,5,0.7,,0.08,0.833,,,,,
1000,7,0.7,,0.08,0.88,,,,,
1000,9,0.7,,0.08,0.916,,,,,
1000,11,0.7,,0.08,0.92,,,,,
1000,21,0.7,,0.08,0.972,,,,,
1000,31,0.7,,0.08,0.991,,,,,
1000,41,0.7,,0.08,0.997,,,,,
1000,51,0.7,,0.08,0.998,,,,,
1000,3,0.7,,0.1,0.804,,,,,
1000,5,0.7,,0.1,0.839,,,,,
1000,7,0.7,,0.1,0.869,,,,,
1000,9,0.7,,0.1,0.876,,,,,
1000,11,0.7,,0.1,0.923,,,,,
1000,21,0.7,,0.1,0.971,,,,,
1000,31,0.7,,0.1,0.989,,,,,
1000,41,0.7,,0.1,0.997,,,,,
1000,51,0.7,,0.1,0.998,,,,,
1000,3,0.7,,0.11,0.782,,,,,
1000,5,0.7,,0.11,0.847,,,,,
1000,7,0.7,,0.11,0.879,,,,,
1000,9,0.7,,0.11,0.898,,,,,
1000,11,0.7,,0.11,0.912,,,,,
1000,21,0.7,,0.11,0.969,,,,,
1000,31,0.7,,0.11,0.989,,,,,
1000,41,0.7,,0.11,0.999,,,,,
1000,51,0.7,,0.11,0.999,,,,,
1000,3,0.7,,0.12,0.76,,,,,
1000,5,0.7,,0.12,0.834,,,,,
1000,7,0.7,,0.12,0.866,,,,,
1000,9,0.7,,0.12,0.901,,,,,
1000,11,0.7,,0.12,0.927,,,,,
1000,21,0.7,,0.12,0.976,,,,,
1000,31,0.7,,0.12,0.987,,,,,
1000,41,0.7,,0.12,0.995,,,,,
1000,51,0.7,,0.12,0.998,,,,,
1000,3,0.75,,0.02,0.848,,,,,
1000,5,0.75,,0.02,0.895,,,,,
1000,7,0.75,,0.02,0.924,,,,,
1000,9,0.75,,0.02,0.944,,,,,
1000,11,0.75,,0.02,0.958,,,,,
1000,21,0.75,,0.02,0.994,,,,,
1000,31,0.75,,0.02,0.998,,,,,
1000,41,0.75,,0.02,1,,,,,
1000,51,0.75,,0.02,1,,,,,
1000,3,0.75,,0.03,0.848,,,,,
1000,5,0.75,,0.03,0.908,,,,,
1000,7,0.75,,0.03,0.918,,,,,
1000,9,0.75,,0.03,0.953,,,,,
1000,11,0.75,,0.03,0.964,,,,,
1000,21,0.75,,0.03,0.992,,,,,
1000,31,0.75,,0.03,1,,,,,
1000,41,0.75,,0.03,1,,,,,
1000,51,0.75,,0.03,0.999,,,,,
1000,3,0.75,,0.04,0.834,,,,,
1000,5,0.75,,0.04,0.898,,,,,
1000,7,0.75,,0.04,0.922,,,,,
1000,9,0.75,,0.04,0.952,,,,,
1000,11,0.75,,0.04,0.968,,,,,
1000,21,0.75,,0.04,0.992,,,,,
1000,31,0.75,,0.04,0.998,,,,,
1000,41,0.75,,0.04,1,,,,,
1000,51,0.75,,0.04,1,,,,,
1000,3,0.75,,0.06,0.844,,,,,
1000,5,0.75,,0.06,0.891,,,,,
1000,7,0.75,,0.06,0.939,,,,,
1000,9,0.75,,0.06,0.945,,,,,
1000,11,0.75,,0.06,0.96,,,,,
1000,21,0.75,,0.06,0.992,,,,,
1000,31,0.75,,0.06,0.998,,,,,
1000,41,0.75,,0.06,0.999,,,,,
1000,51,0.75,,0.06,1,,,,,
1000,3,0.75,,0.07,0.83,,,,,
1000,5,0.75,,0.07,0.897,,,,,
1000,7,0.75,,0.07,0.929,,,,,
1000,9,0.75,,0.07,0.946,,,,,
1000,11,0.75,,0.07,0.973,,,,,
1000,21,0.75,,0.07,0.998,,,,,
1000,31,0.75,,0.07,0.999,,,,,
1000,41,0.75,,0.07,1,,,,,
1000,51,0.75,,0.07,1,,,,,
1000,3,0.75,,0.08,0.82,,,,,
1000,5,0.75,,0.08,0.881,,,,,
1000,7,0.75,,0.08,0.947,,,,,
1000,9,0.75,,0.08,0.948,,,,,
1000,11,0.75,,0.08,0.965,,,,,
1000,21,0.75,,0.08,0.992,,,,,
1000,31,0.75,,0.08,1,,,,,
1000,41,0.75,,0.08,1,,,,,
1000,51,0.75,,0.08,1,,,,,
1000,3,0.75,,0.1,0.843,,,,,
1000,5,0.75,,0.1,0.903,,,,,
1000,7,0.75,,0.1,0.944,,,,,
1000,9,0.75,,0.1,0.947,,,,,
1000,11,0.75,,0.1,0.962,,,,,
1000,21,0.75,,0.1,0.993,,,,,
1000,31,0.75,,0.1,1,,,,,
1000,41,0.75,,0.1,0.999,,,,,
1000,51,0.75,,0.1,1,,,,,
1000,3,0.75,,0.11,0.864,,,,,
1000,5,0.75,,0.11,0.907,,,,,
1000,7,0.75,,0.11,0.927,,,,,
1000,9,0.75,,0.11,0.947,,,,,
1000,11,0.75,,0.11,0.963,,,,,
1000,21,0.75,,0.11,0.994,,,,,
1000,31,0.75,,0.11,0.999,,,,,
1000,41,0.75,,0.11,1,,,,,
1000,51,0.75,,0.11,0.999,,,,,
1000,3,0.75,,0.12,0.853,,,,,
1000,5,0.75,,0.12,0.89,,,,,
1000,7,0.75,,0.12,0.93,,,,,
1000,9,0.75,,0.12,0.944,,,,,
1000,11,0.75,,0.12,0.963,,,,,
1000,21,0.75,,0.12,0.996,,,,,
1000,31,0.75,,0.12,0.998,,,,,
1000,41,0.75,,0.12,0.999,,,,,
1000,51,0.75,,0.12,1,,,,,
1000,3,0.8,,0.02,0.888,,,,,
1000,5,0.8,,0.02,0.94,,,,,
1000,7,0.8,,0.02,0.969,,,,,
1000,9,0.8,,0.02,0.981,,,,,
1000,11,0.8,,0.02,0.987,,,,,
1000,21,0.8,,0.02,1,,,,,
1000,31,0.8,,0.02,1,,,,,
1000,41,0.8,,0.02,1,,,,,
1000,51,0.8,,0.02,1,,,,,
1000,3,0.8,,0.03,0.88,,,,,
1000,5,0.8,,0.03,0.932,,,,,
1000,7,0.8,,0.03,0.973,,,,,
1000,9,0.8,,0.03,0.986,,,,,
1000,11,0.8,,0.03,0.99,,,,,
1000,21,0.8,,0.03,0.999,,,,,
1000,31,0.8,,0.03,1,,,,,
1000,41,0.8,,0.03,1,,,,,
1000,51,0.8,,0.03,1,,,,,
1000,3,0.8,,0.04,0.878,,,,,
1000,5,0.8,,0.04,0.951,,,,,
1000,7,0.8,,0.04,0.964,,,,,
1000,9,0.8,,0.04,0.973,,,,,
1000,11,0.8,,0.04,0.991,,,,,
1000,21,0.8,,0.04,0.999,,,,,
1000,31,0.8,,0.04,1,,,,,
1000,41,0.8,,0.04,1,,,,,
1000,51,0.8,,0.04,1,,,,,
1000,3,0.8,,0.06,0.911,,,,,
1000,5,0.8,,0.06,0.949,,,,,
1000,7,0.8,,0.06,0.971,,,,,
1000,9,0.8,,0.06,0.978,,,,,
1000,11,0.8,,0.06,0.987,,,,,
1000,21,0.8,,0.06,1,,,,,
1000,31,0.8,,0.06,1,,,,,
1000,41,0.8,,0.06,1,,,,,
1000,51,0.8,,0.06,1,,,,,
1000,3,0.8,,0.07,0.892,,,,,
1000,5,0.8,,0.07,0.934,,,,,
1000,7,0.8,,0.07,0.971,,,,,
1000,9,0.8,,0.07,0.973,,,,,
1000,11,0.8,,0.07,0.991,,,,,
1000,21,0.8,,0.07,0.999,,,,,
1000,31,0.8,,0.07,1,,,,,
1000,41,0.8,,0.07,1,,,,,
1000,51,0.8,,0.07,1,,,,,
1000,3,0.8,,0.08,0.904,,,,,
1000,5,0.8,,0.08,0.949,,,,,
1000,7,0.8,,0.08,0.959,,,,,
1000,9,0.8,,0.08,0.978,,,,,
1000,11,0.8,,0.08,0.991,,,,,
1000,21,0.8,,0.08,0.998,,,,,
1000,31,0.8,,0.08,1,,,,,
1000,41,0.8,,0.08,1,,,,,
1000,51,0.8,,0.08,1,,,,,
1000,3,0.8,,0.1,0.893,,,,,
1000,5,0.8,,0.1,0.935,,,,,
1000,7,0.8,,0.1,0.969,,,,,
1000,9,0.8,,0.1,0.979,,,,,
1000,11,0.8,,0.1,0.987,,,,,
1000,21,0.8,,0.1,0.999,,,,,
1000,31,0.8,,0.1,1,,,,,
1000,41,0.8,,0.1,1,,,,,
1000,51,0.8,,0.1,1,,,,,
1000,3,0.8,,0.11,0.895,,,,,
1000,5,0.8,,0.11,0.928,,,,,
1000,7,0.8,,0.11,0.96,,,,,
