,iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,majority_tyranny_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal,optimal_correct_minus_majority_correct
111,1000,5,0.7,,0.06,,0.408,0.5920000000000001,0.5920000000000001,0.077,0.0,0.0,0.624,0.8370000000000001,0.8320000000000001,0.784,0.8390000000000001,0.8370000000000001,0.951,0.9670000000000001,0.9840000000000001,0.951,1.0,0.0050000000000000044
112,1000,5,0.7,,0.07,,0.284,0.716,0.7140000000000001,0.151,0.002,0.002,0.634,0.843,0.821,0.7979999999999999,0.8320000000000001,0.843,0.9520000000000001,0.9790000000000001,0.973,0.9520000000000001,1.0,0.02200000000000002
113,1000,5,0.7,,0.08,,0.215,0.785,0.78,0.18899999999999997,0.005,0.005,0.6409999999999999,0.851,0.8420000000000001,0.792,0.8440000000000001,0.851,0.941,0.97,0.971,0.941,1.0,0.008999999999999897
114,1000,5,0.7,,0.1,,0.127,0.873,0.8390000000000001,0.297,0.034,0.034,0.6679999999999999,0.8740000000000001,0.856,0.8270000000000001,0.8640000000000001,0.872,0.934,0.9740000000000001,0.96,0.9359999999999999,0.998,0.018000000000000127
115,1000,5,0.7,,0.11,,0.106,0.894,0.8490000000000001,0.344,0.045,0.045,0.657,0.862,0.838,0.838,0.847,0.863,0.924,0.971,0.953,0.927,0.997,0.02400000000000002
116,1000,5,0.7,,0.12,,0.075,0.925,0.861,0.364,0.064,0.064,0.6920000000000001,0.8740000000000001,0.856,0.835,0.872,0.8740000000000001,0.9279999999999999,0.9620000000000001,0.966,0.93,0.998,0.018000000000000127
117,1000,5,0.75,,0.02,,1.0,0.0,0.0,0.0,0.0,0.0,0.65,0.9,0.9,0.7609999999999999,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.0
118,1000,5,0.75,,0.03,,0.9890000000000001,0.011000000000000001,0.011000000000000001,0.0,0.0,0.0,0.639,0.9059999999999999,0.9059999999999999,0.795,0.9059999999999999,0.9059999999999999,1.0,1.0,1.0,1.0,1.0,0.0
119,1000,5,0.75,,0.04,,0.887,0.113,0.113,0.002,0.0,0.0,0.659,0.9109999999999999,0.91,0.7759999999999999,0.9109999999999999,0.9109999999999999,0.995,0.995,1.0,0.995,1.0,0.0009999999999998899
120,1000,5,0.75,,0.06,,0.5479999999999999,0.452,0.452,0.04,0.0,0.0,0.69,0.9009999999999999,0.9,0.825,0.9,0.9009999999999999,0.9890000000000001,0.9940000000000001,0.995,0.9890000000000001,1.0,0.0009999999999998899
121,1000,5,0.75,,0.07,,0.386,0.614,0.614,0.079,0.0,0.0,0.667,0.922,0.907,0.835,0.9179999999999999,0.922,0.9790000000000001,0.9890000000000001,0.99,0.9790000000000001,1.0,0.015000000000000013
122,1000,5,0.75,,0.08,,0.27399999999999997,0.726,0.7240000000000001,0.11900000000000001,0.002,0.002,0.6679999999999999,0.898,0.887,0.831,0.895,0.898,0.9570000000000001,0.976,0.981,0.9570000000000001,1.0,0.01100000000000001
123,1000,5,0.75,,0.1,,0.15,0.85,0.818,0.243,0.032,0.032,0.731,0.914,0.889,0.866,0.91,0.914,0.9490000000000001,0.9690000000000001,0.98,0.9490000000000001,1.0,0.025000000000000022
124,1000,5,0.75,,0.11,,0.114,0.8859999999999999,0.851,0.281,0.035,0.035,0.738,0.902,0.871,0.856,0.884,0.902,0.937,0.9690000000000001,0.968,0.937,1.0,0.031000000000000028
125,1000,5,0.75,,0.12,,0.096,0.904,0.855,0.317,0.049,0.049,0.743,0.925,0.9009999999999999,0.8690000000000001,0.9179999999999999,0.925,0.9420000000000001,0.971,0.971,0.9420000000000001,1.0,0.024000000000000132
126,1000,5,0.8,,0.02,,1.0,0.0,0.0,0.0,0.0,0.0,0.7090000000000001,0.94,0.94,0.805,0.94,0.94,1.0,1.0,1.0,1.0,1.0,0.0
127,1000,5,0.8,,0.03,,0.9940000000000001,0.006,0.006,0.0,0.0,0.0,0.725,0.935,0.935,0.84,0.935,0.935,1.0,1.0,1.0,1.0,1.0,0.0
128,1000,5,0.8,,0.04,,0.935,0.065,0.065,0.001,0.0,0.0,0.703,0.9359999999999999,0.935,0.8440000000000001,0.9359999999999999,0.9359999999999999,0.997,0.997,1.0,0.997,1.0,0.0009999999999998899
129,1000,5,0.8,,0.06,,0.604,0.396,0.396,0.034,0.0,0.0,0.747,0.94,0.9329999999999999,0.8690000000000001,0.937,0.94,0.9890000000000001,0.9940000000000001,0.995,0.9890000000000001,1.0,0.007000000000000006
130,1000,5,0.8,,0.07,,0.447,0.5529999999999999,0.551,0.057,0.002,0.002,0.765,0.946,0.941,0.8959999999999999,0.941,0.946,0.9890000000000001,0.9940000000000001,0.995,0.9890000000000001,1.0,0.0050000000000000044
131,1000,5,0.8,,0.08,,0.35700000000000004,0.643,0.637,0.08199999999999999,0.006,0.006,0.768,0.946,0.943,0.887,0.945,0.946,0.977,0.988,0.9890000000000001,0.977,1.0,0.0030000000000000027
132,1000,5,0.8,,0.1,,0.187,0.813,0.7879999999999999,0.196,0.025,0.025,0.762,0.945,0.9329999999999999,0.894,0.94,0.945,0.97,0.981,0.9890000000000001,0.97,1.0,0.01200000000000001
133,1000,5,0.8,,0.11,,0.15,0.85,0.8270000000000001,0.24100000000000002,0.023,0.023,0.785,0.941,0.9390000000000001,0.888,0.9390000000000001,0.941,0.97,0.9840000000000001,0.986,0.972,0.998,0.0019999999999998908
134,1000,5,0.8,,0.12,,0.106,0.894,0.8590000000000001,0.276,0.035,0.035,0.792,0.955,0.937,0.9179999999999999,0.9470000000000001,0.955,0.958,0.98,0.978,0.958,1.0,0.017999999999999905
135,1000,5,0.9,,0.02,,1.0,0.0,0.0,0.0,0.0,0.0,0.843,0.991,0.991,0.9309999999999999,0.991,0.991,1.0,1.0,1.0,1.0,1.0,0.0
136,1000,5,0.9,,0.03,,0.956,0.044000000000000004,0.044000000000000004,0.003,0.0,0.0,0.86,0.992,0.992,0.9279999999999999,0.992,0.992,1.0,1.0,1.0,1.0,1.0,0.0
137,1000,5,0.9,,0.04,,0.838,0.162,0.162,0.006999999999999999,0.0,0.0,0.866,0.995,0.993,0.94,0.9940000000000001,0.995,0.998,0.9990000000000001,0.9990000000000001,0.998,1.0,0.0020000000000000018
138,1000,5,0.9,,0.06,,0.512,0.488,0.486,0.05,0.002,0.002,0.872,0.991,0.9890000000000001,0.9590000000000001,0.991,0.991,0.996,0.996,1.0,0.996,1.0,0.0019999999999998908
139,1000,5,0.9,,0.07,,0.435,0.565,0.562,0.045,0.003,0.003,0.88,0.9890000000000001,0.986,0.965,0.988,0.9890000000000001,0.995,0.998,0.997,0.995,1.0,0.0030000000000001137
140,1000,5,0.9,,0.08,,0.35,0.65,0.645,0.092,0.005,0.005,0.9229999999999999,0.988,0.983,0.965,0.985,0.988,0.995,0.998,0.997,0.995,1.0,0.0050000000000000044
141,1000,5,0.9,,0.1,,0.253,0.747,0.741,0.126,0.006,0.006,0.885,0.987,0.985,0.958,0.988,0.987,0.9940000000000001,0.997,0.997,0.9940000000000001,1.0,0.0020000000000000018
142,1000,5,0.9,,0.11,,0.203,0.797,0.7879999999999999,0.141,0.009000000000000001,0.009000000000000001,0.882,0.98,0.971,0.9570000000000001,0.976,0.98,0.985,0.993,0.992,0.985,1.0,0.009000000000000008
143,1000,5,0.9,,0.12,,0.175,0.825,0.812,0.157,0.013000000000000001,0.013000000000000001,0.867,0.983,0.9790000000000001,0.956,0.982,0.983,0.988,0.995,0.993,0.988,1.0,0.0039999999999998925
144,1000,5,0.95,,0.02,,0.956,0.044000000000000004,0.044000000000000004,0.002,0.0,0.0,0.937,0.998,0.998,0.9670000000000001,0.998,0.998,1.0,1.0,1.0,1.0,1.0,0.0
145,1000,5,0.95,,0.03,,0.765,0.235,0.235,0.016,0.0,0.0,0.938,0.9990000000000001,0.9990000000000001,0.9740000000000001,0.9990000000000001,0.9990000000000001,1.0,1.0,1.0,1.0,1.0,0.0
146,1000,5,0.95,,0.04,,0.659,0.341,0.341,0.038,0.0,0.0,0.945,0.998,0.998,0.976,0.998,0.998,1.0,1.0,1.0,1.0,1.0,0.0
147,1000,5,0.95,,0.06,,0.47100000000000003,0.529,0.526,0.055,0.003,0.003,0.932,0.995,0.9940000000000001,0.975,0.9940000000000001,0.995,0.997,0.998,0.9990000000000001,0.997,1.0,0.0009999999999998899
148,1000,5,0.95,,0.07,,0.415,0.585,0.581,0.064,0.004,0.004,0.9259999999999999,0.997,0.998,0.981,0.997,0.997,0.997,0.9990000000000001,0.998,0.997,1.0,-0.0010000000000000009
