iterations,voters,mean,mean_bucket,std,std_bucket,optimal_is_strong_democracy,optimal_is_weak_democracy,optimal_is_weak_epistocracy,optimal_is_strong_epistocracy,optimal_is_expert_rule,minority_colluding,optimal_agrees_majority
1000.0,5.0,0.9,,0.14,,0.011,0.382,0.344,0.266,0.263,0.981,0.99
1000.0,5.0,0.95,,0.02,,0.988,0.012,0.0,0.0,0.0,0.931,1.0
1000.0,5.0,0.95,,0.03,,0.797,0.196,0.007,0.0,0.0,0.949,1.0
1000.0,5.0,0.95,,0.04,,0.504,0.459,0.037,0.0,0.0,0.954,1.0
1000.0,5.0,0.95,,0.07,,0.087,0.618,0.227,0.068,0.068,0.988,0.999
1000.0,5.0,0.95,,0.08,,0.061,0.566,0.262,0.112,0.111,0.989,1.0
1000.0,5.0,0.95,,0.09,,0.028,0.502,0.296,0.18,0.174,0.991,0.999
1000.0,5.0,0.95,,0.12,,0.487,0.169,0.239,0.584,0.105,0.997,0.997
1000.0,5.0,0.95,,0.13,,0.784,0.059,0.111,0.827,0.046,0.999,0.999
1000.0,5.0,0.95,,0.14,,0.984,0.003,0.009,0.987,0.004,1.0,0.999
1000.0,7.0,0.55,,0.02,,0.044,0.939,0.017,0.0,0.0,0.256,0.912
1000.0,7.0,0.55,,0.03,,0.002,0.899,0.094,0.005,0.004,0.249,0.851
1000.0,7.0,0.55,,0.04,,0.002,0.68,0.26,0.058,0.042,0.272,0.812
1000.0,7.0,0.55,,0.07,,0.0,0.095,0.349,0.556,0.431,0.277,0.726
1000.0,7.0,0.55,,0.08,,0.0,0.035,0.265,0.7,0.58,0.293,0.725
1000.0,7.0,0.55,,0.09,,0.0,0.008,0.173,0.819,0.697,0.291,0.696
1000.0,7.0,0.55,,0.12,,0.0,0.0,0.033,0.967,0.916,0.296,0.668
1000.0,7.0,0.55,,0.13,,0.0,0.0,0.008,0.992,0.961,0.298,0.659
1000.0,7.0,0.55,,0.14,,0.024,0.0,0.002,0.998,0.959,0.275,0.697
1000.0,7.0,0.6,,0.02,,0.5,0.499,0.001,0.0,0.0,0.269,0.985
1000.0,7.0,0.6,,0.03,,0.116,0.875,0.009,0.0,0.0,0.287,0.95
1000.0,7.0,0.6,,0.04,,0.031,0.951,0.018,0.0,0.0,0.345,0.917
1000.0,7.0,0.6,,0.07,,0.0,0.767,0.207,0.026,0.017,0.328,0.83
1000.0,7.0,0.6,,0.08,,0.0,0.618,0.311,0.071,0.045,0.335,0.837
1000.0,7.0,0.6,,0.09,,0.0,0.425,0.4,0.175,0.122,0.334,0.792
1000.0,7.0,0.6,,0.12,,0.0,0.107,0.355,0.538,0.435,0.378,0.763
1000.0,7.0,0.6,,0.13,,0.0,0.05,0.296,0.654,0.535,0.387,0.753
1000.0,7.0,0.6,,0.14,,0.0,0.018,0.251,0.731,0.598,0.381,0.728
1000.0,7.0,0.65,,0.02,,0.91,0.09,0.0,0.0,0.0,0.335,1.0
1000.0,7.0,0.65,,0.03,,0.463,0.537,0.0,0.0,0.0,0.358,0.99
1000.0,7.0,0.65,,0.04,,0.183,0.816,0.001,0.0,0.0,0.32,0.968
1000.0,7.0,0.65,,0.07,,0.015,0.915,0.07,0.0,0.0,0.375,0.919
1000.0,7.0,0.65,,0.08,,0.001,0.911,0.083,0.005,0.001,0.408,0.899
1000.0,7.0,0.65,,0.09,,0.003,0.792,0.187,0.018,0.01,0.405,0.887
1000.0,7.0,0.65,,0.12,,0.0,0.466,0.385,0.149,0.104,0.437,0.848
1000.0,7.0,0.65,,0.13,,0.0,0.336,0.447,0.217,0.16,0.448,0.855
1000.0,7.0,0.65,,0.14,,0.0,0.246,0.448,0.306,0.224,0.445,0.835
1000.0,7.0,0.7,,0.02,,0.989,0.011,0.0,0.0,0.0,0.403,1.0
1000.0,7.0,0.7,,0.03,,0.74,0.26,0.0,0.0,0.0,0.408,0.996
1000.0,7.0,0.7,,0.04,,0.37,0.63,0.0,0.0,0.0,0.429,0.983
1000.0,7.0,0.7,,0.07,,0.026,0.956,0.018,0.0,0.0,0.441,0.945
1000.0,7.0,0.7,,0.08,,0.015,0.944,0.041,0.0,0.0,0.442,0.938
1000.0,7.0,0.7,,0.09,,0.005,0.917,0.077,0.001,0.001,0.499,0.938
1000.0,7.0,0.7,,0.12,,0.0,0.727,0.237,0.036,0.023,0.558,0.92
1000.0,7.0,0.7,,0.13,,0.0,0.605,0.316,0.079,0.057,0.561,0.908
1000.0,7.0,0.7,,0.14,,0.0,0.511,0.376,0.113,0.075,0.56,0.896
1000.0,7.0,0.75,,0.02,,1.0,0.0,0.0,0.0,0.0,0.451,1.0
1000.0,7.0,0.75,,0.03,,0.889,0.111,0.0,0.0,0.0,0.485,1.0
1000.0,7.0,0.75,,0.04,,0.538,0.462,0.0,0.0,0.0,0.475,0.996
1000.0,7.0,0.75,,0.07,,0.064,0.927,0.009,0.0,0.0,0.541,0.968
1000.0,7.0,0.75,,0.08,,0.043,0.931,0.026,0.0,0.0,0.537,0.972
1000.0,7.0,0.75,,0.09,,0.017,0.95,0.033,0.0,0.0,0.575,0.965
1000.0,7.0,0.75,,0.12,,0.001,0.83,0.159,0.01,0.008,0.641,0.942
1000.0,7.0,0.75,,0.13,,0.001,0.763,0.209,0.027,0.021,0.619,0.951
1000.0,7.0,0.75,,0.14,,0.001,0.676,0.28,0.043,0.029,0.649,0.943
1000.0,7.0,0.8,,0.02,,0.999,0.001,0.0,0.0,0.0,0.558,1.0
1000.0,7.0,0.8,,0.03,,0.926,0.074,0.0,0.0,0.0,0.555,1.0
1000.0,7.0,0.8,,0.04,,0.642,0.357,0.001,0.0,0.0,0.56,0.999
1000.0,7.0,0.8,,0.07,,0.107,0.889,0.004,0.0,0.0,0.64,0.987
1000.0,7.0,0.8,,0.08,,0.038,0.949,0.013,0.0,0.0,0.61,0.986
1000.0,7.0,0.8,,0.09,,0.029,0.947,0.024,0.0,0.0,0.673,0.984
1000.0,7.0,0.8,,0.12,,0.004,0.858,0.132,0.006,0.006,0.72,0.978
1000.0,7.0,0.8,,0.13,,0.003,0.793,0.186,0.018,0.014,0.744,0.968
1000.0,7.0,0.8,,0.14,,0.001,0.742,0.226,0.031,0.022,0.772,0.97
1000.0,7.0,0.85,,0.02,,0.999,0.001,0.0,0.0,0.0,0.681,1.0
1000.0,7.0,0.85,,0.03,,0.931,0.069,0.0,0.0,0.0,0.668,1.0
1000.0,7.0,0.85,,0.04,,0.627,0.373,0.0,0.0,0.0,0.707,1.0
1000.0,7.0,0.85,,0.07,,0.097,0.895,0.008,0.0,0.0,0.744,0.996
1000.0,7.0,0.85,,0.08,,0.048,0.939,0.013,0.0,0.0,0.76,0.995
1000.0,7.0,0.85,,0.09,,0.028,0.953,0.019,0.0,0.0,0.788,0.992
