iterations,voters,mean,std,minority_decisive,majority_correct
1000.0,5.0,0.55,0.194,0.977,1.0
1000.0,5.0,0.55,0.195,0.977,1.0
1000.0,5.0,0.55,0.196,0.981,1.0
1000.0,5.0,0.55,0.197,0.974,1.0
1000.0,5.0,0.55,0.198,0.974,1.0
1000.0,5.0,0.55,0.199,0.977,1.0
1000.0,5.0,0.55,0.2,0.977,1.0
1000.0,5.0,0.6,0.001,0.0,1.0
1000.0,5.0,0.6,0.002,0.0,1.0
1000.0,5.0,0.6,0.003,0.0,1.0
1000.0,5.0,0.6,0.004,0.0,1.0
1000.0,5.0,0.6,0.005,0.0,1.0
1000.0,5.0,0.6,0.006,0.0,1.0
1000.0,5.0,0.6,0.007,0.0,1.0
1000.0,5.0,0.6,0.008,0.0,1.0
1000.0,5.0,0.6,0.009000000000000001,0.0,1.0
1000.0,5.0,0.6,0.010000000000000002,0.0,1.0
1000.0,5.0,0.6,0.011,0.0,1.0
1000.0,5.0,0.6,0.012,0.0,1.0
1000.0,5.0,0.6,0.013000000000000001,0.001,1.0
1000.0,5.0,0.6,0.014000000000000002,0.008,1.0
1000.0,5.0,0.6,0.015,0.022,1.0
1000.0,5.0,0.6,0.016,0.03,1.0
1000.0,5.0,0.6,0.017,0.048,1.0
1000.0,5.0,0.6,0.018000000000000002,0.088,1.0
1000.0,5.0,0.6,0.019000000000000003,0.102,1.0
1000.0,5.0,0.6,0.02,0.143,1.0
1000.0,5.0,0.6,0.021,0.178,1.0
1000.0,5.0,0.6,0.022000000000000002,0.198,1.0
1000.0,5.0,0.6,0.023,0.246,1.0
1000.0,5.0,0.6,0.024,0.281,1.0
1000.0,5.0,0.6,0.025,0.291,1.0
1000.0,5.0,0.6,0.026000000000000002,0.34,1.0
1000.0,5.0,0.6,0.027000000000000003,0.38,1.0
1000.0,5.0,0.6,0.028,0.399,1.0
1000.0,5.0,0.6,0.029,0.452,1.0
1000.0,5.0,0.6,0.030000000000000002,0.506,1.0
1000.0,5.0,0.6,0.031,0.513,1.0
1000.0,5.0,0.6,0.032,0.55,1.0
1000.0,5.0,0.6,0.033,0.563,1.0
1000.0,5.0,0.6,0.034,0.639,1.0
1000.0,5.0,0.6,0.035,0.665,1.0
1000.0,5.0,0.6,0.036000000000000004,0.629,1.0
1000.0,5.0,0.6,0.037000000000000005,0.683,1.0
1000.0,5.0,0.6,0.038,0.694,1.0
1000.0,5.0,0.6,0.039,0.712,1.0
1000.0,5.0,0.6,0.04,0.705,1.0
1000.0,5.0,0.6,0.041,0.748,1.0
1000.0,5.0,0.6,0.042,0.764,1.0
1000.0,5.0,0.6,0.043000000000000003,0.759,1.0
1000.0,5.0,0.6,0.044000000000000004,0.778,1.0
1000.0,5.0,0.6,0.045,0.8,1.0
1000.0,5.0,0.6,0.046,0.813,1.0
1000.0,5.0,0.6,0.047,0.797,1.0
1000.0,5.0,0.6,0.048,0.839,1.0
1000.0,5.0,0.6,0.049,0.815,1.0
1000.0,5.0,0.6,0.05,0.822,1.0
1000.0,5.0,0.6,0.051000000000000004,0.827,1.0
