iterations,voters,mean,std,minority_decisive,expert_decisive,majority_correct
1000.0,5.0,0.7,0.056,,0.001,
1000.0,5.0,0.7,0.058,,0.0,
1000.0,5.0,0.7,0.060000000000000005,,0.0,
1000.0,5.0,0.7,0.062,,0.002,
1000.0,5.0,0.7,0.064,,0.001,
1000.0,5.0,0.7,0.066,,0.0,
1000.0,5.0,0.7,0.068,,0.001,
1000.0,5.0,0.7,0.07,,0.002,
1000.0,5.0,0.7,0.07200000000000001,,0.002,
1000.0,5.0,0.7,0.07400000000000001,,0.003,
1000.0,5.0,0.7,0.076,,0.005,
1000.0,5.0,0.7,0.078,,0.01,
1000.0,5.0,0.7,0.08,,0.009,
1000.0,5.0,0.7,0.082,,0.006,
1000.0,5.0,0.7,0.084,,0.015,
1000.0,5.0,0.7,0.08600000000000001,,0.015,
1000.0,5.0,0.7,0.08800000000000001,,0.016,
1000.0,5.0,0.7,0.09,,0.022,
1000.0,5.0,0.7,0.092,,0.024,
1000.0,5.0,0.7,0.094,,0.024,
1000.0,5.0,0.7,0.096,,0.027,
1000.0,5.0,0.7,0.098,,0.029,
1000.0,5.0,0.7,0.1,,0.04,
1000.0,5.0,0.7,0.10200000000000001,,0.042,
1000.0,5.0,0.7,0.10400000000000001,,0.032,
1000.0,5.0,0.7,0.10600000000000001,,0.052,
1000.0,5.0,0.7,0.108,,0.046,
1000.0,5.0,0.7,0.11,,0.041,
1000.0,5.0,0.7,0.112,,0.045,
1000.0,5.0,0.7,0.114,,0.049,
1000.0,5.0,0.7,0.116,,0.065,
1000.0,5.0,0.7,0.11800000000000001,,0.059,
1000.0,5.0,0.7,0.12000000000000001,,0.066,
1000.0,5.0,0.7,0.122,,0.074,
1000.0,5.0,0.7,0.124,,0.078,
1000.0,5.0,0.7,0.126,,0.078,
1000.0,5.0,0.7,0.128,,0.071,
1000.0,5.0,0.7,0.13,,0.084,
1000.0,5.0,0.7,0.132,,0.065,
1000.0,5.0,0.7,0.134,,0.091,
1000.0,5.0,0.7,0.136,,0.094,
1000.0,5.0,0.7,0.138,,0.086,
1000.0,5.0,0.7,0.14,,0.097,
1000.0,5.0,0.7,0.14200000000000002,,0.099,
1000.0,5.0,0.7,0.14400000000000002,,0.106,
1000.0,5.0,0.7,0.14600000000000002,,0.111,
1000.0,5.0,0.7,0.148,,0.103,
1000.0,5.0,0.7,0.15,,0.104,
1000.0,5.0,0.7,0.152,,0.1,
1000.0,5.0,0.7,0.154,,0.136,
1000.0,5.0,0.7,0.156,,0.119,
1000.0,5.0,0.7,0.158,,0.121,
1000.0,5.0,0.7,0.16,,0.125,
1000.0,5.0,0.7,0.162,,0.12,
1000.0,5.0,0.7,0.164,,0.12,
1000.0,5.0,0.7,0.166,,0.13,
1000.0,5.0,0.7,0.168,,0.137,
1000.0,5.0,0.7,0.17,,0.127,
1000.0,5.0,0.7,0.17200000000000001,,0.136,
1000.0,5.0,0.7,0.17400000000000002,,0.131,
1000.0,5.0,0.7,0.17600000000000002,,0.13,
1000.0,5.0,0.7,0.178,,0.122,
1000.0,5.0,0.7,0.18,,0.147,
1000.0,5.0,0.7,0.182,,0.141,
1000.0,5.0,0.7,0.184,,0.149,
1000.0,5.0,0.7,0.186,,0.145,
1000.0,5.0,0.7,0.188,,0.132,
1000.0,5.0,0.7,0.19,,0.16,
1000.0,5.0,0.7,0.192,,0.133,
1000.0,5.0,0.7,0.194,,0.166,
1000.0,5.0,0.7,0.196,,0.168,
1000.0,5.0,0.7,0.198,,0.164,
1000.0,5.0,0.75,0.002,,0.0,
1000.0,5.0,0.75,0.004,,0.0,
1000.0,5.0,0.75,0.006,,0.0,
1000.0,5.0,0.75,0.008,,0.0,
1000.0,5.0,0.75,0.01,,0.0,
1000.0,5.0,0.75,0.012,,0.0,
1000.0,5.0,0.75,0.014,,0.0,
1000.0,5.0,0.75,0.016,,0.0,
1000.0,5.0,0.75,0.018000000000000002,,0.0,
1000.0,5.0,0.75,0.020000000000000004,,0.0,
1000.0,5.0,0.75,0.022,,0.0,
1000.0,5.0,0.75,0.024,,0.0,
1000.0,5.0,0.75,0.026000000000000002,,0.0,
1000.0,5.0,0.75,0.028000000000000004,,0.0,
1000.0,5.0,0.75,0.03,,0.0,
1000.0,5.0,0.75,0.032,,0.0,
1000.0,5.0,0.75,0.034,,0.0,
1000.0,5.0,0.75,0.036000000000000004,,0.0,
1000.0,5.0,0.75,0.038000000000000006,,0.0,
1000.0,5.0,0.75,0.04,,0.0,
1000.0,5.0,0.75,0.042,,0.0,
1000.0,5.0,0.75,0.044000000000000004,,0.0,
1000.0,5.0,0.75,0.046,,0.0,
1000.0,5.0,0.75,0.048,,0.0,
1000.0,5.0,0.75,0.05,,0.0,
1000.0,5.0,0.75,0.052000000000000005,,0.0,
1000.0,5.0,0.75,0.054000000000000006,,0.0,
1000.0,5.0,0.75,0.056,,0.0,
1000.0,5.0,0.75,0.058,,0.0,
1000.0,5.0,0.75,0.060000000000000005,,0.0,
1000.0,5.0,0.75,0.062,,0.0,
1000.0,5.0,0.75,0.064,,0.0,
1000.0,5.0,0.75,0.066,,0.0,
1000.0,5.0,0.75,0.068,,0.004,
1000.0,5.0,0.75,0.07,,0.001,
1000.0,5.0,0.75,0.07200000000000001,,0.004,
1000.0,5.0,0.75,0.07400000000000001,,0.003,
1000.0,5.0,0.75,0.076,,0.001,
1000.0,5.0,0.75,0.078,,0.002,
1000.0,5.0,0.75,0.08,,0.0,
1000.0,5.0,0.75,0.082,,0.008,
1000.0,5.0,0.75,0.084,,0.008,
1000.0,5.0,0.75,0.08600000000000001,,0.007,
1000.0,5.0,0.75,0.08800000000000001,,0.017,
1000.0,5.0,0.75,0.09,,0.009,
1000.0,5.0,0.75,0.092,,0.014,
1000.0,5.0,0.75,0.094,,0.02,
1000.0,5.0,0.75,0.096,,0.018,
1000.0,5.0,0.75,0.098,,0.028,
1000.0,5.0,0.75,0.1,,0.033,
1000.0,5.0,0.75,0.10200000000000001,,0.031,
1000.0,5.0,0.75,0.10400000000000001,,0.032,
1000.0,5.0,0.75,0.10600000000000001,,0.033,
1000.0,5.0,0.75,0.108,,0.025,
1000.0,5.0,0.75,0.11,,0.041,
1000.0,5.0,0.75,0.112,,0.042,
1000.0,5.0,0.75,0.114,,0.034,
1000.0,5.0,0.75,0.116,,0.036,
1000.0,5.0,0.75,0.11800000000000001,,0.052,
1000.0,5.0,0.75,0.12000000000000001,,0.055,
1000.0,5.0,0.75,0.122,,0.046,
1000.0,5.0,0.75,0.124,,0.06,
1000.0,5.0,0.75,0.126,,0.062,
1000.0,5.0,0.75,0.128,,0.053,
1000.0,5.0,0.75,0.13,,0.063,
1000.0,5.0,0.75,0.132,,0.063,
1000.0,5.0,0.75,0.134,,0.068,
1000.0,5.0,0.75,0.136,,0.062,
1000.0,5.0,0.75,0.138,,0.08,
1000.0,5.0,0.75,0.14,,0.088,
1000.0,5.0,0.75,0.14200000000000002,,0.084,
1000.0,5.0,0.75,0.14400000000000002,,0.08,
1000.0,5.0,0.75,0.14600000000000002,,0.087,
1000.0,5.0,0.75,0.148,,0.085,
1000.0,5.0,0.75,0.15,,0.085,
1000.0,5.0,0.75,0.152,,0.074,
1000.0,5.0,0.75,0.154,,0.099,
1000.0,5.0,0.75,0.156,,0.089,
1000.0,5.0,0.75,0.158,,0.113,
1000.0,5.0,0.75,0.16,,0.082,
1000.0,5.0,0.75,0.162,,0.099,
1000.0,5.0,0.75,0.164,,0.1,
1000.0,5.0,0.75,0.166,,0.135,
1000.0,5.0,0.75,0.168,,0.132,
1000.0,5.0,0.75,0.17,,0.088,
1000.0,5.0,0.75,0.17200000000000001,,0.107,
1000.0,5.0,0.75,0.17400000000000002,,0.093,
1000.0,5.0,0.75,0.17600000000000002,,0.11,
1000.0,5.0,0.75,0.178,,0.111,
1000.0,5.0,0.75,0.18,,0.119,
1000.0,5.0,0.75,0.182,,0.133,
1000.0,5.0,0.75,0.184,,0.122,
1000.0,5.0,0.75,0.186,,0.129,
1000.0,5.0,0.75,0.188,,0.125,
1000.0,5.0,0.75,0.19,,0.117,
1000.0,5.0,0.75,0.192,,0.118,
1000.0,5.0,0.75,0.194,,0.117,
1000.0,5.0,0.75,0.196,,0.117,
1000.0,5.0,0.75,0.198,,0.132,
1000.0,5.0,0.8,0.002,,0.0,
1000.0,5.0,0.8,0.004,,0.0,
1000.0,5.0,0.8,0.006,,0.0,
1000.0,5.0,0.8,0.008,,0.0,
1000.0,5.0,0.8,0.01,,0.0,
1000.0,5.0,0.8,0.012,,0.0,
1000.0,5.0,0.8,0.014,,0.0,
1000.0,5.0,0.8,0.016,,0.0,
1000.0,5.0,0.8,0.018000000000000002,,0.0,
1000.0,5.0,0.8,0.020000000000000004,,0.0,
1000.0,5.0,0.8,0.022,,0.0,
1000.0,5.0,0.8,0.024,,0.0,
1000.0,5.0,0.8,0.026000000000000002,,0.0,
1000.0,5.0,0.8,0.028000000000000004,,0.0,
1000.0,5.0,0.8,0.03,,0.0,
1000.0,5.0,0.8,0.032,,0.0,
1000.0,5.0,0.8,0.034,,0.0,
1000.0,5.0,0.8,0.036000000000000004,,0.0,
1000.0,5.0,0.8,0.038000000000000006,,0.0,
1000.0,5.0,0.8,0.04,,0.0,
1000.0,5.0,0.8,0.042,,0.0,
1000.0,5.0,0.8,0.044000000000000004,,0.0,
1000.0,5.0,0.8,0.046,,0.0,
1000.0,5.0,0.8,0.048,,0.0,
1000.0,5.0,0.8,0.05,,0.0,
1000.0,5.0,0.8,0.052000000000000005,,0.0,
1000.0,5.0,0.8,0.054000000000000006,,0.0,
1000.0,5.0,0.8,0.056,,0.0,
1000.0,5.0,0.8,0.058,,0.001,
1000.0,5.0,0.8,0.060000000000000005,,0.002,
1000.0,5.0,0.8,0.062,,0.001,
1000.0,5.0,0.8,0.064,,0.001,
1000.0,5.0,0.8,0.066,,0.0,
1000.0,5.0,0.8,0.068,,0.004,
1000.0,5.0,0.8,0.07,,0.003,
1000.0,5.0,0.8,0.07200000000000001,,0.003,
1000.0,5.0,0.8,0.07400000000000001,,0.006,
1000.0,5.0,0.8,0.076,,0.006,
1000.0,5.0,0.8,0.078,,0.005,
1000.0,5.0,0.8,0.08,,0.008,
1000.0,5.0,0.8,0.082,,0.012,
1000.0,5.0,0.8,0.084,,0.005,
1000.0,5.0,0.8,0.08600000000000001,,0.013,
1000.0,5.0,0.8,0.08800000000000001,,0.012,
1000.0,5.0,0.8,0.09,,0.01,
1000.0,5.0,0.8,0.092,,0.014,
1000.0,5.0,0.8,0.094,,0.013,
1000.0,5.0,0.8,0.096,,0.015,
1000.0,5.0,0.8,0.098,,0.023,
1000.0,5.0,0.8,0.1,,0.021,
1000.0,5.0,0.8,0.10200000000000001,,0.02,
1000.0,5.0,0.8,0.10400000000000001,,0.017,
1000.0,5.0,0.8,0.10600000000000001,,0.024,
1000.0,5.0,0.8,0.108,,0.019,
1000.0,5.0,0.8,0.11,,0.027,
1000.0,5.0,0.8,0.112,,0.027,
1000.0,5.0,0.8,0.114,,0.027,
1000.0,5.0,0.8,0.116,,0.033,
1000.0,5.0,0.8,0.11800000000000001,,0.032,
1000.0,5.0,0.8,0.12000000000000001,,0.045,
1000.0,5.0,0.8,0.122,,0.054,
1000.0,5.0,0.8,0.124,,0.041,
1000.0,5.0,0.8,0.126,,0.052,
1000.0,5.0,0.8,0.128,,0.044,
1000.0,5.0,0.8,0.13,,0.048,
1000.0,5.0,0.8,0.132,,0.053,
1000.0,5.0,0.8,0.134,,0.05,
1000.0,5.0,0.8,0.136,,0.041,
1000.0,5.0,0.8,0.138,,0.057,
1000.0,5.0,0.8,0.14,,0.047,
1000.0,5.0,0.8,0.14200000000000002,,0.069,
1000.0,5.0,0.8,0.14400000000000002,,0.063,
1000.0,5.0,0.8,0.14600000000000002,,0.059,
1000.0,5.0,0.8,0.148,,0.068,
1000.0,5.0,0.8,0.15,,0.068,
1000.0,5.0,0.8,0.152,,0.053,
1000.0,5.0,0.8,0.154,,0.086,
