,Unnamed: 0,iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,majority_tyranny_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal,optimal_correct_minus_majority_correct,d_majority_correct_d_voters
696,696,1000,51,0.8,,0.07,,0.0,1.0,1.0,,0.0,0.0,0.021,1.0,1.0,0.956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
50,50,1000,3,0.8,,0.08,,0.794,0.206,0.0,0.206,0.206,0.206,1.0,0.914,0.901,0.852,0.914,0.914,0.979,0.979,1.0,0.979,1.0,0.013000000000000124,0.0
131,131,1000,5,0.8,,0.08,,0.35700000000000004,0.643,0.637,0.08199999999999999,0.006,0.006,0.768,0.946,0.943,0.887,0.945,0.946,0.977,0.988,0.989,0.977,1.0,0.003000000000000003,0.041999999999999926
212,212,1000,7,0.8,,0.08,,0.065,0.935,0.935,0.019,0.0,0.0,0.639,0.97,0.968,0.903,0.97,0.97,0.982,0.998,0.984,0.982,1.0,0.0020000000000000018,0.025000000000000022
293,293,1000,9,0.8,,0.08,,0.003,0.997,0.997,0.001,0.0,0.0,0.562,0.982,0.98,0.902,0.981,0.982,0.99,0.997,0.993,0.99,1.0,0.0020000000000000018,0.01200000000000001
374,374,1000,11,0.8,,0.08,,0.0,1.0,1.0,0.001,0.0,0.0,0.452,0.996,0.991,0.919,0.991,0.996,0.995,1.0,0.995,0.995,1.0,0.0050000000000000044,0.01100000000000001
455,455,1000,21,0.8,,0.08,,0.0,1.0,1.0,0.0,0.0,0.0,0.234,1.0,1.0,0.943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.009000000000000008
535,535,1000,31,0.8,,0.08,,0.0,1.0,1.0,,0.0,0.0,0.113,1.0,1.0,0.943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
616,616,1000,41,0.8,,0.08,,0.0,1.0,1.0,,0.0,0.0,0.04,1.0,1.0,0.956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
697,697,1000,51,0.8,,0.08,,0.0,1.0,1.0,,0.0,0.0,0.022,1.0,1.0,0.964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
51,51,1000,3,0.8,,0.1,,0.723,0.277,0.0,0.277,0.277,0.277,1.0,0.89,0.89,0.8640000000000001,0.89,0.89,0.974,0.974,1.0,0.974,1.0,0.0,0.0
132,132,1000,5,0.8,,0.1,,0.187,0.813,0.7879999999999999,0.196,0.025,0.025,0.762,0.945,0.933,0.894,0.94,0.945,0.97,0.981,0.989,0.97,1.0,0.012000000000000009,0.04300000000000004
213,213,1000,7,0.8,,0.1,,0.017,0.983,0.982,0.042,0.001,0.001,0.642,0.974,0.967,0.913,0.969,0.974,0.979,0.998,0.981,0.979,1.0,0.007000000000000006,0.03399999999999992
294,294,1000,9,0.8,,0.1,,0.001,0.999,0.999,0.012,0.0,0.0,0.557,0.979,0.977,0.934,0.98,0.979,0.98,0.997,0.983,0.98,1.0,0.002000000000000113,0.010000000000000009
375,375,1000,11,0.8,,0.1,,0.0,1.0,1.0,0.0,0.0,0.0,0.493,0.99,0.989,0.936,0.989,0.99,0.995,1.0,0.995,0.995,1.0,0.00099999999999989,0.01200000000000001
456,456,1000,21,0.8,,0.1,,0.0,1.0,1.0,0.0,0.0,0.0,0.247,1.0,0.998,0.962,0.998,1.0,0.998,1.0,0.998,0.998,1.0,0.0020000000000000018,0.009000000000000008
536,536,1000,31,0.8,,0.1,,0.0,1.0,1.0,,0.0,0.0,0.128,1.0,1.0,0.958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0020000000000000018
617,617,1000,41,0.8,,0.1,,0.0,1.0,1.0,,0.0,0.0,0.066,1.0,1.0,0.979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
698,698,1000,51,0.8,,0.1,,0.0,1.0,1.0,,0.0,0.0,0.036000000000000004,1.0,1.0,0.979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
52,52,1000,3,0.8,,0.11,,0.655,0.345,0.0,0.345,0.345,0.345,1.0,0.91,0.91,0.8809999999999999,0.91,0.91,0.972,0.972,1.0,0.972,1.0,0.0,0.0
133,133,1000,5,0.8,,0.11,,0.15,0.85,0.8270000000000001,0.241,0.023,0.023,0.785,0.941,0.939,0.888,0.939,0.941,0.97,0.984,0.986,0.972,0.998,0.0019999999999998908,0.028999999999999915
214,214,1000,7,0.8,,0.11,,0.014,0.986,0.982,0.065,0.004,0.004,0.677,0.98,0.96,0.918,0.963,0.98,0.974,0.997,0.977,0.974,1.0,0.020000000000000014,0.02100000000000002
295,295,1000,9,0.8,,0.11,,0.001,0.999,0.999,0.014,0.0,0.0,0.56,0.987,0.98,0.927,0.981,0.987,0.985,0.999,0.986,0.985,1.0,0.007000000000000006,0.020000000000000018
376,376,1000,11,0.8,,0.11,,0.0,1.0,1.0,0.001,0.0,0.0,0.512,0.994,0.986,0.95,0.986,0.993,0.99,1.0,0.99,0.991,0.999,0.008000000000000118,0.006000000000000005
457,457,1000,21,0.8,,0.11,,0.0,1.0,1.0,0.0,0.0,0.0,0.266,1.0,0.998,0.957,0.998,1.0,0.998,1.0,0.998,0.998,1.0,0.0020000000000000018,0.01200000000000001
537,537,1000,31,0.8,,0.11,,0.0,1.0,1.0,,0.0,0.0,0.156,1.0,1.0,0.977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0020000000000000018
618,618,1000,41,0.8,,0.11,,0.0,1.0,1.0,,0.0,0.0,0.076,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
699,699,1000,51,0.8,,0.11,,0.0,1.0,1.0,,0.0,0.0,0.043,1.0,1.0,0.977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
53,53,1000,3,0.8,,0.12,,0.62,0.38,0.0,0.38,0.38,0.38,1.0,0.8859999999999999,0.8759999999999999,0.8809999999999999,0.8859999999999999,0.8859999999999999,0.95,0.95,1.0,0.95,1.0,0.010000000000000007,0.0
134,134,1000,5,0.8,,0.12,,0.106,0.894,0.8590000000000001,0.276,0.035,0.035,0.792,0.955,0.937,0.918,0.947,0.955,0.958,0.98,0.978,0.958,1.0,0.0179999999999999,0.061000000000000165
