iterations,voters,mean,std,minority_decisive,minority_tyrannic,expert_decisive,majority_correct,expert_correct
1000.0,5.0,0.55,0.08600000000000001,0.0,0.106,0.0,0.0,0.0
1000.0,5.0,0.55,0.08800000000000001,0.0,0.11,0.0,0.0,0.0
1000.0,5.0,0.55,0.09,0.0,0.104,0.0,0.0,0.0
1000.0,5.0,0.55,0.092,0.0,0.123,0.0,0.0,0.0
1000.0,5.0,0.55,0.094,0.0,0.137,0.0,0.0,0.0
1000.0,5.0,0.55,0.096,0.0,0.123,0.0,0.0,0.0
1000.0,5.0,0.55,0.098,0.0,0.13,0.0,0.0,0.0
1000.0,5.0,0.55,0.1,0.0,0.118,0.0,0.0,0.0
1000.0,5.0,0.55,0.10200000000000001,0.0,0.117,0.0,0.0,0.0
1000.0,5.0,0.55,0.10400000000000001,0.0,0.131,0.0,0.0,0.0
1000.0,5.0,0.55,0.10600000000000001,0.0,0.133,0.0,0.0,0.0
1000.0,5.0,0.55,0.108,0.0,0.145,0.0,0.0,0.0
1000.0,5.0,0.55,0.11,0.0,0.142,0.0,0.0,0.0
1000.0,5.0,0.55,0.112,0.0,0.136,0.0,0.0,0.0
1000.0,5.0,0.55,0.114,0.0,0.146,0.0,0.0,0.0
1000.0,5.0,0.55,0.116,0.0,0.127,0.0,0.0,0.0
1000.0,5.0,0.55,0.11800000000000001,0.0,0.148,0.0,0.0,0.0
1000.0,5.0,0.55,0.12000000000000001,0.0,0.132,0.0,0.0,0.0
1000.0,5.0,0.55,0.122,0.0,0.143,0.0,0.0,0.0
1000.0,5.0,0.55,0.124,0.0,0.159,0.0,0.0,0.0
1000.0,5.0,0.55,0.126,0.0,0.149,0.0,0.0,0.0
1000.0,5.0,0.55,0.128,0.0,0.141,0.0,0.0,0.0
1000.0,5.0,0.55,0.13,0.0,0.157,0.0,0.0,0.0
1000.0,5.0,0.55,0.132,0.0,0.142,0.0,0.0,0.0
1000.0,5.0,0.55,0.134,0.0,0.152,0.0,0.0,0.0
1000.0,5.0,0.55,0.136,0.0,0.173,0.0,0.0,0.0
1000.0,5.0,0.55,0.138,0.0,0.161,0.0,0.0,0.0
1000.0,5.0,0.55,0.14,0.0,0.156,0.0,0.0,0.0
1000.0,5.0,0.55,0.14200000000000002,0.0,0.169,0.0,0.0,0.0
1000.0,5.0,0.55,0.14400000000000002,0.0,0.184,0.0,0.0,0.0
