iterations,voters,mean,mean_bucket,std,std_bucket,optimal_is_strong_democracy,optimal_is_weak_democracy,optimal_is_weak_epistocracy,optimal_is_strong_epistocracy,optimal_is_expert_rule,minority_colluding,optimal_agrees_majority
1000.0,5.0,0.55,,0.07,,0.033,0.495,0.386,0.086,0.086,0.556,0.856
1000.0,5.0,0.55,,0.08,,0.038,0.462,0.402,0.098,0.098,0.512,0.87
1000.0,5.0,0.55,,0.09,,0.027000000000000003,0.445,0.433,0.095,0.095,0.5429999999999999,0.83
1000.0,5.0,0.55,,0.12,,0.038,0.431,0.39399999999999996,0.13699999999999998,0.13699999999999998,0.569,0.853
1000.0,5.0,0.55,,0.13,,0.024,0.40299999999999997,0.425,0.14800000000000002,0.14800000000000002,0.596,0.8590000000000001
1000.0,5.0,0.55,,0.14,,0.027000000000000003,0.42200000000000004,0.379,0.172,0.172,0.584,0.845
1000.0,5.0,0.6,,0.02,,0.856,0.141,0.003,0.0,0.0,0.495,0.9940000000000001
1000.0,5.0,0.6,,0.03,,0.522,0.436,0.042,0.0,0.0,0.537,0.972
1000.0,5.0,0.6,,0.04,,0.29100000000000004,0.557,0.151,0.001,0.001,0.523,0.929
1000.0,5.0,0.6,,0.07,,0.09300000000000001,0.541,0.327,0.039,0.039,0.569,0.885
1000.0,5.0,0.6,,0.08,,0.07200000000000001,0.498,0.375,0.055,0.055,0.5579999999999999,0.846
1000.0,5.0,0.6,,0.09,,0.057,0.491,0.392,0.06,0.06,0.569,0.87
1000.0,5.0,0.6,,0.12,,0.035,0.474,0.371,0.12,0.12,0.601,0.873
1000.0,5.0,0.6,,0.13,,0.028999999999999998,0.457,0.36700000000000005,0.147,0.147,0.616,0.836
1000.0,5.0,0.6,,0.14,,0.023,0.426,0.40299999999999997,0.14800000000000002,0.14800000000000002,0.632,0.8809999999999999
1000.0,5.0,0.65,,0.02,,0.992,0.008,0.0,0.0,0.0,0.575,0.9990000000000001
1000.0,5.0,0.65,,0.03,,0.838,0.161,0.001,0.0,0.0,0.5589999999999999,0.992
1000.0,5.0,0.65,,0.04,,0.611,0.37,0.019,0.0,0.0,0.5770000000000001,0.975
1000.0,5.0,0.65,,0.07,,0.17600000000000002,0.5760000000000001,0.243,0.005,0.005,0.599,0.929
1000.0,5.0,0.65,,0.08,,0.128,0.569,0.285,0.018000000000000002,0.018000000000000002,0.594,0.9009999999999999
1000.0,5.0,0.65,,0.09,,0.114,0.5379999999999999,0.32,0.027999999999999997,0.027999999999999997,0.605,0.9079999999999999
1000.0,5.0,0.65,,0.12,,0.052000000000000005,0.484,0.376,0.08800000000000001,0.08800000000000001,0.672,0.883
1000.0,5.0,0.65,,0.13,,0.046,0.484,0.349,0.121,0.121,0.6609999999999999,0.8909999999999999
1000.0,5.0,0.65,,0.14,,0.037000000000000005,0.469,0.36200000000000004,0.132,0.132,0.6509999999999999,0.89
1000.0,5.0,0.7,,0.02,,1.0,0.0,0.0,0.0,0.0,0.622,1.0
1000.0,5.0,0.7,,0.03,,0.965,0.035,0.0,0.0,0.0,0.618,0.9990000000000001
1000.0,5.0,0.7,,0.04,,0.8109999999999999,0.18600000000000003,0.003,0.0,0.0,0.59,0.988
1000.0,5.0,0.7,,0.07,,0.28800000000000003,0.5870000000000001,0.125,0.0,0.0,0.63,0.9490000000000001
1000.0,5.0,0.7,,0.08,,0.20800000000000002,0.6,0.184,0.008,0.008,0.632,0.9440000000000001
1000.0,5.0,0.7,,0.09,,0.171,0.569,0.253,0.006999999999999999,0.006999999999999999,0.642,0.9279999999999999
1000.0,5.0,0.7,,0.12,,0.059000000000000004,0.527,0.33399999999999996,0.08,0.08,0.7120000000000001,0.9109999999999999
1000.0,5.0,0.7,,0.13,,0.067,0.5379999999999999,0.305,0.09,0.09,0.69,0.9129999999999999
1000.0,5.0,0.7,,0.14,,0.055,0.506,0.34299999999999997,0.096,0.096,0.732,0.9
1000.0,5.0,0.75,,0.02,,1.0,0.0,0.0,0.0,0.0,0.633,1.0
1000.0,5.0,0.75,,0.03,,0.996,0.004,0.0,0.0,0.0,0.669,1.0
