iterations,voters,mean,std,minority_decisive,majority_correct
1000.0,5.0,0.6,0.158,0.981,0.7875
1000.0,5.0,0.6,0.16,0.973,0.806
1000.0,5.0,0.6,0.162,0.968,0.8
1000.0,5.0,0.6,0.164,0.971,0.792
1000.0,5.0,0.6,0.166,0.97,0.81
1000.0,5.0,0.6,0.168,0.967,0.8135
1000.0,5.0,0.6,0.17,0.978,0.7985
1000.0,5.0,0.6,0.17200000000000001,0.97,0.8
1000.0,5.0,0.6,0.17400000000000002,0.973,0.8085
1000.0,5.0,0.6,0.17600000000000002,0.97,0.817
1000.0,5.0,0.6,0.178,0.965,0.8195
1000.0,5.0,0.6,0.18,0.971,0.803
1000.0,5.0,0.6,0.182,0.981,0.819
1000.0,5.0,0.6,0.184,0.972,0.8315
1000.0,5.0,0.6,0.186,0.97,0.8045
1000.0,5.0,0.6,0.188,0.972,0.801
1000.0,5.0,0.6,0.19,0.976,0.802
1000.0,5.0,0.6,0.192,0.983,0.8155
1000.0,5.0,0.6,0.194,0.983,0.81
1000.0,5.0,0.6,0.196,0.974,0.814
1000.0,5.0,0.6,0.198,0.971,0.816
1000.0,5.0,0.65,0.002,0.0,0.77
1000.0,5.0,0.65,0.004,0.0,0.7635
1000.0,5.0,0.65,0.006,0.0,0.7615
1000.0,5.0,0.65,0.008,0.0,0.7585
1000.0,5.0,0.65,0.01,0.0,0.759
1000.0,5.0,0.65,0.012,0.0,0.7855
1000.0,5.0,0.65,0.014,0.0,0.752
1000.0,5.0,0.65,0.016,0.0,0.763
1000.0,5.0,0.65,0.018000000000000002,0.0,0.7725
1000.0,5.0,0.65,0.020000000000000004,0.01,0.762
1000.0,5.0,0.65,0.022,0.016,0.759
1000.0,5.0,0.65,0.024,0.038,0.7795
1000.0,5.0,0.65,0.026000000000000002,0.069,0.761
1000.0,5.0,0.65,0.028000000000000004,0.103,0.7695
1000.0,5.0,0.65,0.03,0.151,0.7665
1000.0,5.0,0.65,0.032,0.201,0.7685
1000.0,5.0,0.65,0.034,0.267,0.75
1000.0,5.0,0.65,0.036000000000000004,0.314,0.77
1000.0,5.0,0.65,0.038000000000000006,0.373,0.781
1000.0,5.0,0.65,0.04,0.404,0.7635
1000.0,5.0,0.65,0.042,0.46,0.7755
1000.0,5.0,0.65,0.044000000000000004,0.485,0.7505
1000.0,5.0,0.65,0.046,0.562,0.755
1000.0,5.0,0.65,0.048,0.602,0.7795
1000.0,5.0,0.65,0.05,0.597,0.7695
1000.0,5.0,0.65,0.052000000000000005,0.648,0.7825
1000.0,5.0,0.65,0.054000000000000006,0.678,0.7615
1000.0,5.0,0.65,0.056,0.711,0.7545
