distribution,voters,mean,std,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
truncnorm,41.0,Upper,Medium,0.88,1.0,0.1,0.12,1.0,0.1,0.12,0.0,0.0,0.0,1.0,,1.0
truncnorm,41.0,Upper,Upper,0.849,1.0,0.1,0.151,1.0,0.1,0.151,0.0,0.0,0.0,1.0,,1.0
truncnorm,51.0,Lower,Lower,0.601,0.916,0.316,0.315,0.903,0.303,0.302,0.013,0.01,0.012,0.954,0.99,0.985
truncnorm,51.0,Lower,Medium,0.62,0.968,0.368,0.349,0.947,0.347,0.328,0.021,0.009,0.006,0.94,1.467,0.978
truncnorm,51.0,Lower,Upper,0.651,0.994,0.394,0.343,0.98,0.38,0.329,0.014,0.003,0.001,0.96,inf,0.986
truncnorm,51.0,Medium,Lower,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,1.125,1.0
truncnorm,51.0,Medium,Medium,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,0.999,,1.0
truncnorm,51.0,Medium,Upper,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,inf,1.0
truncnorm,51.0,Upper,Lower,0.899,1.0,0.1,0.101,1.0,0.1,0.101,0.0,0.0,0.0,1.0,,1.0
truncnorm,51.0,Upper,Medium,0.88,1.0,0.1,0.12,1.0,0.1,0.12,0.0,0.0,0.0,1.0,,1.0
truncnorm,51.0,Upper,Upper,0.849,1.0,0.1,0.151,1.0,0.1,0.151,0.0,0.0,0.0,1.0,,1.0
