voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
7,0.6,0.16,0.5971911076667299,0.1562477317575884,0.697,0.007,0.1,0.867,0.17
9,0.6,0.16,0.5971911076667299,0.1562477317575884,0.713,0.008,0.116,0.895,0.182
11,0.6,0.16,0.5971911076667299,0.1562477317575884,0.745,0.016,0.148,0.921,0.176
21,0.6,0.16,0.5971911076667299,0.1562477317575884,0.811,0.033,0.214,0.972,0.161
31,0.6,0.16,0.5971911076667299,0.1562477317575884,0.862,0.025,0.265,0.984,0.122
41,0.6,0.16,0.5971911076667299,0.1562477317575884,0.889,0.014,0.292,0.993,0.104
51,0.6,0.16,0.5971911076667299,0.1562477317575884,0.916,0.014,0.319,0.998,0.082
3,0.6,0.32,0.5576729048100907,0.2410818771832,0.59,0.0,0.032,0.835,0.245
5,0.6,0.32,0.5576729048100907,0.2410818771832,0.609,0.01,0.051,0.899,0.29
7,0.6,0.32,0.5576729048100907,0.2410818771832,0.627,0.009,0.069,0.941,0.314
9,0.6,0.32,0.5576729048100907,0.2410818771832,0.638,0.006,0.08,0.963,0.325
11,0.6,0.32,0.5576729048100907,0.2410818771832,0.659,0.011,0.101,0.972,0.313
21,0.6,0.32,0.5576729048100907,0.2410818771832,0.718,0.029,0.16,0.998,0.28
31,0.6,0.32,0.5576729048100907,0.2410818771832,0.741,0.012,0.183,1.0,0.259
41,0.6,0.32,0.5576729048100907,0.2410818771832,0.768,0.014,0.21,1.0,0.232
51,0.6,0.32,0.5576729048100907,0.2410818771832,0.77,0.001,0.212,1.0,0.23
3,0.6,0.64,0.5186547733905137,0.2761896044905053,0.544,0.0,0.025,0.87,0.326
5,0.6,0.64,0.5186547733905137,0.2761896044905053,0.555,0.006,0.036,0.933,0.378
7,0.6,0.64,0.5186547733905137,0.2761896044905053,0.525,-0.015,0.006,0.948,0.423
9,0.6,0.64,0.5186547733905137,0.2761896044905053,0.505,-0.01,-0.014,0.969,0.464
11,0.6,0.64,0.5186547733905137,0.2761896044905053,0.583,0.039,0.064,0.985,0.402
21,0.6,0.64,0.5186547733905137,0.2761896044905053,0.579,-0.002,0.06,1.0,0.421
31,0.6,0.64,0.5186547733905137,0.2761896044905053,0.561,-0.009,0.042,1.0,0.439
41,0.6,0.64,0.5186547733905137,0.2761896044905053,0.59,0.014,0.071,1.0,0.41
51,0.6,0.64,0.5186547733905137,0.2761896044905053,0.591,0.001,0.072,1.0,0.409
3,0.6,1.28,0.504963738137385,0.2851599598301377,0.498,0.0,-0.007,0.868,0.37
5,0.6,1.28,0.504963738137385,0.2851599598301377,0.539,0.021,0.034,0.943,0.404
7,0.6,1.28,0.504963738137385,0.2851599598301377,0.516,-0.012,0.011,0.973,0.457
9,0.6,1.28,0.504963738137385,0.2851599598301377,0.531,0.008,0.026,0.982,0.451
11,0.6,1.28,0.504963738137385,0.2851599598301377,0.535,0.002,0.03,0.984,0.449
21,0.6,1.28,0.504963738137385,0.2851599598301377,0.519,-0.008,0.014,1.0,0.481
31,0.6,1.28,0.504963738137385,0.2851599598301377,0.534,0.008,0.029,1.0,0.466
41,0.6,1.28,0.504963738137385,0.2851599598301377,0.501,-0.017,-0.004,1.0,0.499
51,0.6,1.28,0.504963738137385,0.2851599598301377,0.556,0.028,0.051,1.0,0.444
3,0.6,2.56,0.5012600754585549,0.2873667915732488,0.543,0.0,0.042,0.881,0.338
5,0.6,2.56,0.5012600754585549,0.2873667915732488,0.506,-0.019,0.005,0.946,0.44
7,0.6,2.56,0.5012600754585549,0.2873667915732488,0.481,-0.013,-0.02,0.967,0.486
9,0.6,2.56,0.5012600754585549,0.2873667915732488,0.539,0.029,0.038,0.98,0.441
11,0.6,2.56,0.5012600754585549,0.2873667915732488,0.504,-0.018,0.003,0.991,0.487
21,0.6,2.56,0.5012600754585549,0.2873667915732488,0.507,0.002,0.006,1.0,0.493
31,0.6,2.56,0.5012600754585549,0.2873667915732488,0.507,0.0,0.006,1.0,0.493
41,0.6,2.56,0.5012600754585549,0.2873667915732488,0.525,0.009,0.024,1.0,0.475
51,0.6,2.56,0.5012600754585549,0.2873667915732488,0.5,-0.013,-0.001,1.0,0.5
3,0.65,0.02,0.65,0.02,0.717,0.0,0.067,0.717,0.0
5,0.65,0.02,0.65,0.02,0.752,0.018,0.102,0.751,-0.001
7,0.65,0.02,0.65,0.02,0.794,0.021,0.144,0.794,0.0
9,0.65,0.02,0.65,0.02,0.842,0.024,0.192,0.839,-0.003
11,0.65,0.02,0.65,0.02,0.857,0.008,0.207,0.857,0.0
21,0.65,0.02,0.65,0.02,0.929,0.036,0.279,0.929,0.0
31,0.65,0.02,0.65,0.02,0.948,0.009,0.298,0.949,0.001
41,0.65,0.02,0.65,0.02,0.958,0.005,0.308,0.958,0.0
51,0.65,0.02,0.65,0.02,0.99,0.016,0.34,0.991,0.001
