voters,mean,std,ratio_difference_to_mean,ratio_correct
3,0.75,0.08,0.908,0.989
5,0.75,0.08,0.909,0.984
7,0.75,0.08,0.919,0.984
9,0.75,0.08,0.972,0.994
11,0.75,0.08,0.973,0.994
21,0.75,0.08,0.996,0.999
31,0.75,0.08,1.0,1.0
41,0.75,0.08,1.0,1.0
51,0.75,0.08,1.0,1.0
3,0.75,0.16,0.537,0.927
5,0.75,0.16,0.797,0.958
7,0.75,0.16,0.767,0.947
9,0.75,0.16,0.812,0.953
11,0.75,0.16,0.838,0.958
21,0.75,0.16,0.974,0.993
31,0.75,0.16,0.996,0.999
41,0.75,0.16,0.993,0.998
51,0.75,0.16,1.0,1.0
3,0.75,0.32,0.401,0.843
5,0.75,0.32,0.364,0.805
7,0.75,0.32,0.486,0.831
9,0.75,0.32,0.461,0.819
11,0.75,0.32,0.512,0.832
21,0.75,0.32,0.711,0.896
31,0.75,0.32,0.82,0.935
41,0.75,0.32,0.906,0.966
51,0.75,0.32,0.942,0.979
3,0.75,0.64,0.1,0.661
5,0.75,0.64,0.134,0.648
7,0.75,0.64,0.099,0.611
9,0.75,0.64,0.126,0.617
11,0.75,0.64,0.129,0.614
21,0.75,0.64,0.242,0.656
31,0.75,0.64,0.368,0.713
41,0.75,0.64,0.414,0.734
51,0.75,0.64,0.465,0.757
3,0.75,1.28,-0.025,0.575
5,0.75,1.28,0.031,0.564
7,0.75,1.28,0.09,0.572
9,0.75,1.28,0.054,0.549
11,0.75,1.28,0.095,0.566
21,0.75,1.28,0.041,0.533
31,0.75,1.28,0.09,0.556
41,0.75,1.28,0.131,0.576
51,0.75,1.28,0.189,0.604
3,0.75,2.56,0.089,0.595
5,0.75,2.56,0.012,0.547
7,0.75,2.56,-0.028,0.508
9,0.75,2.56,0.006,0.514
11,0.75,2.56,0.073,0.547
21,0.75,2.56,-0.016,0.495
31,0.75,2.56,0.03,0.519
41,0.75,2.56,-0.05,0.478
51,0.75,2.56,-0.04,0.483
3,0.8,0.02,1.0,1.0
5,0.8,0.02,1.0,1.0
7,0.8,0.02,1.0,1.0
9,0.8,0.02,1.0,1.0
11,0.8,0.02,1.0,1.0
21,0.8,0.02,1.0,1.0
31,0.8,0.02,1.0,1.0
41,0.8,0.02,1.0,1.0
51,0.8,0.02,1.0,1.0
3,0.8,0.04,1.0,1.0
5,0.8,0.04,1.0,1.0
7,0.8,0.04,0.988,0.998
9,0.8,0.04,0.994,0.999
11,0.8,0.04,1.005,1.001
21,0.8,0.04,1.0,1.0
31,0.8,0.04,1.0,1.0
41,0.8,0.04,1.0,1.0
51,0.8,0.04,1.0,1.0
3,0.8,0.08,0.875,0.986
5,0.8,0.08,0.955,0.993
7,0.8,0.08,0.982,0.997
9,0.8,0.08,0.956,0.992
