,voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
336,9,Medium,Upper,"TruncNorm[0.001,0.999]",1000,0.546,0.274,0.973,0.223,0.427,0.6,-0.15,0.054,0.373,0.007,0.007,0.126,1.0,0.617
337,11,Medium,Upper,"TruncNorm[0.001,0.999]",1000,0.546,0.274,0.981,0.231,0.435,0.602,-0.148,0.056,0.379,0.001,0.004,0.129,0.25,0.614
338,21,Medium,Upper,"TruncNorm[0.001,0.999]",1000,0.546,0.274,1.0,0.25,0.454,0.656,-0.094,0.11,0.344,0.027,0.01,0.242,2.7,0.656
339,31,Medium,Upper,"TruncNorm[0.001,0.999]",1000,0.546,0.274,1.0,0.25,0.454,0.713,-0.037,0.167,0.287,0.028,0.0,0.368,inf,0.713
340,41,Medium,Upper,"TruncNorm[0.001,0.999]",1000,0.546,0.274,1.0,0.25,0.454,0.734,-0.016,0.188,0.266,0.011,0.0,0.414,inf,0.734
341,51,Medium,Upper,"TruncNorm[0.001,0.999]",1000,0.546,0.274,1.0,0.25,0.454,0.757,0.007,0.211,0.243,0.012,0.0,0.465,inf,0.757
585,3,Upper,Lower,"TruncNorm[0.001,0.999]",1000,0.942,0.033,0.986,0.036,0.044,0.986,0.036,0.044,0.0,0.0,0.0,1.0,,1.0
586,5,Upper,Lower,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.007,0.007,1.0,1.0,1.0
587,7,Upper,Lower,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
588,9,Upper,Lower,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
