,voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
692,51,0.95,0.16,"TruncNorm[0.001,0.999]",1000,0.852,0.106,1.0,0.05,0.148,1.0,0.05,0.148,0.0,0.0,0.0,1.0,,1.0
702,3,0.95,0.64,"TruncNorm[0.001,0.999]",1000,0.583,0.27,0.866,-0.084,0.283,0.613,-0.337,0.03,0.253,0.0,0.0,0.107,,0.708
703,5,0.95,0.64,"TruncNorm[0.001,0.999]",1000,0.583,0.27,0.948,-0.002,0.365,0.671,-0.279,0.088,0.277,0.029,0.041,0.242,0.707,0.708
704,7,0.95,0.64,"TruncNorm[0.001,0.999]",1000,0.583,0.27,0.967,0.017,0.384,0.662,-0.288,0.079,0.305,-0.005,0.01,0.207,-0.5,0.685
705,9,0.95,0.64,"TruncNorm[0.001,0.999]",1000,0.583,0.27,0.981,0.031,0.398,0.687,-0.263,0.104,0.294,0.013,0.007,0.262,1.857,0.7
706,11,0.95,0.64,"TruncNorm[0.001,0.999]",1000,0.583,0.27,0.985,0.035,0.402,0.714,-0.236,0.131,0.271,0.013,0.002,0.327,6.5,0.725
707,21,0.95,0.64,"TruncNorm[0.001,0.999]",1000,0.583,0.27,0.998,0.048,0.415,0.771,-0.179,0.188,0.227,0.029,0.007,0.454,4.143,0.773
708,31,0.95,0.64,"TruncNorm[0.001,0.999]",1000,0.583,0.27,1.0,0.05,0.417,0.827,-0.123,0.244,0.173,0.028,0.001,0.586,28.0,0.827
709,41,0.95,0.64,"TruncNorm[0.001,0.999]",1000,0.583,0.27,1.0,0.05,0.417,0.859,-0.091,0.276,0.141,0.016,0.0,0.662,inf,0.859
710,51,0.95,0.64,"TruncNorm[0.001,0.999]",1000,0.583,0.27,1.0,0.05,0.417,0.894,-0.056,0.311,0.106,0.018,0.0,0.746,inf,0.894
