voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.7401202493698373,0.142110505886336,0.861,0.311,0.121,0.826,0.276,0.086,0.035,0.0,0.0,0.71,,0.959
5,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.7401202493698373,0.142110505886336,0.944,0.394,0.204,0.903,0.353,0.163,0.041,0.039,0.041,0.799,0.951,0.957
7,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.7401202493698373,0.142110505886336,0.969,0.419,0.229,0.927,0.377,0.187,0.042,0.012,0.013,0.816,0.923,0.957
9,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.7401202493698373,0.142110505886336,0.98,0.43,0.24,0.954,0.404,0.214,0.026,0.013,0.006,0.892,2.167,0.973
11,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.7401202493698373,0.142110505886336,0.99,0.44,0.25,0.951,0.401,0.211,0.039,-0.002,0.005,0.844,-0.4,0.961
21,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.7401202493698373,0.142110505886336,1.0,0.45,0.26,0.99,0.44,0.25,0.01,0.02,0.005,0.962,4.0,0.99
31,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.7401202493698373,0.142110505886336,1.0,0.45,0.26,0.997,0.447,0.257,0.003,0.004,0.0,0.988,inf,0.997
41,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.7401202493698373,0.142110505886336,1.0,0.45,0.26,1.0,0.45,0.26,0.0,0.002,0.0,1.0,inf,1.0
51,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.7401202493698373,0.142110505886336,1.0,0.45,0.26,1.0,0.45,0.26,0.0,0.0,0.0,1.0,,1.0
3,0.55,1.28,"TruncNorm[0.501,0.999]",1000,0.7474900323155698,0.1433846098421971,0.873,0.323,0.126,0.843,0.293,0.096,0.03,0.0,0.0,0.761,,0.966
5,0.55,1.28,"TruncNorm[0.501,0.999]",1000,0.7474900323155698,0.1433846098421971,0.946,0.396,0.199,0.885,0.335,0.138,0.061,0.021,0.036,0.693,0.583,0.936
7,0.55,1.28,"TruncNorm[0.501,0.999]",1000,0.7474900323155698,0.1433846098421971,0.958,0.408,0.211,0.924,0.374,0.177,0.034,0.02,0.006,0.838,3.333,0.965
9,0.55,1.28,"TruncNorm[0.501,0.999]",1000,0.7474900323155698,0.1433846098421971,0.985,0.435,0.238,0.959,0.409,0.212,0.026,0.017,0.014,0.891,1.214,0.974
11,0.55,1.28,"TruncNorm[0.501,0.999]",1000,0.7474900323155698,0.1433846098421971,0.988,0.438,0.241,0.967,0.417,0.22,0.021,0.004,0.002,0.913,2.0,0.979
21,0.55,1.28,"TruncNorm[0.501,0.999]",1000,0.7474900323155698,0.1433846098421971,0.999,0.449,0.252,0.994,0.444,0.247,0.005,0.014,0.006,0.98,2.333,0.995
31,0.55,1.28,"TruncNorm[0.501,0.999]",1000,0.7474900323155698,0.1433846098421971,0.998,0.448,0.251,0.997,0.447,0.25,0.001,0.002,-0.001,0.996,-2.0,0.999
41,0.55,1.28,"TruncNorm[0.501,0.999]",1000,0.7474900323155698,0.1433846098421971,1.0,0.45,0.253,1.0,0.45,0.253,0.0,0.002,0.001,1.0,2.0,1.0
51,0.55,1.28,"TruncNorm[0.501,0.999]",1000,0.7474900323155698,0.1433846098421971,1.0,0.45,0.253,1.0,0.45,0.253,0.0,0.0,0.0,1.0,,1.0
