,voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
364,11,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.975,0.225,0.225,0.955,0.205,0.205,0.02,0.009,0.002,0.911,4.5,0.979
365,21,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.997,0.247,0.247,0.991,0.241,0.241,0.006,0.018,0.011,0.976,1.636,0.994
366,31,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.005,0.002,1.0,2.5,1.0
367,41,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
368,51,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
378,3,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.89,0.14,0.14,0.851,0.101,0.101,0.039,0.0,0.0,0.721,,0.956
379,5,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.945,0.195,0.195,0.9,0.15,0.15,0.045,0.025,0.027,0.769,0.926,0.952
380,7,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.956,0.206,0.206,0.919,0.169,0.169,0.037,0.01,0.006,0.82,1.667,0.961
381,9,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.979,0.229,0.229,0.952,0.202,0.202,0.027,0.016,0.012,0.882,1.333,0.972
382,11,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.989,0.239,0.239,0.969,0.219,0.219,0.02,0.009,0.005,0.916,1.8,0.98
383,21,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,1.0,0.25,0.25,0.993,0.243,0.243,0.007,0.012,0.006,0.972,2.0,0.993
384,31,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.004,0.0,1.0,inf,1.0
385,41,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
386,51,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
666,3,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,0.987,0.037,0.045,0.986,0.036,0.044,0.001,0.0,0.0,0.978,,0.999
667,5,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.007,0.007,1.0,1.0,1.0
668,7,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,0.999,0.049,0.057,0.001,-0.001,0.0,0.983,-inf,0.999
669,9,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.001,0.0,1.0,inf,1.0
670,11,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
671,21,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
672,31,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
673,41,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
674,51,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
684,3,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.956,0.006,0.103,0.948,-0.002,0.095,0.008,0.0,0.0,0.922,,0.992
685,5,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.978,0.028,0.125,0.972,0.022,0.119,0.006,0.012,0.011,0.952,1.091,0.994
686,7,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.995,0.045,0.142,0.989,0.039,0.136,0.006,0.009,0.009,0.958,1.0,0.994
687,9,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.997,0.047,0.144,0.994,0.044,0.141,0.003,0.003,0.001,0.979,3.0,0.997
688,11,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.998,0.048,0.145,0.998,0.048,0.145,0.0,0.002,0.001,1.0,2.0,1.0
689,21,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,1.0,0.05,0.147,1.0,0.05,0.147,0.0,0.001,0.001,1.0,1.0,1.0
690,31,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,1.0,0.05,0.147,1.0,0.05,0.147,0.0,0.0,0.0,1.0,,1.0
691,41,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,1.0,0.05,0.147,1.0,0.05,0.147,0.0,0.0,0.0,1.0,,1.0
692,51,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,1.0,0.05,0.147,1.0,0.05,0.147,0.0,0.0,0.0,1.0,,1.0
702,3,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,0.904,-0.046,0.144,0.84,-0.11,0.08,0.064,0.0,0.0,0.556,,0.929
703,5,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,0.935,-0.015,0.175,0.911,-0.039,0.151,0.024,0.036,0.016,0.863,2.25,0.974
704,7,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,0.976,0.026,0.216,0.935,-0.015,0.175,0.041,0.012,0.02,0.81,0.6,0.958
705,9,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,0.991,0.041,0.231,0.957,0.007,0.197,0.034,0.011,0.008,0.853,1.375,0.966
706,11,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,0.992,0.042,0.232,0.971,0.021,0.211,0.021,0.007,0.001,0.91,7.0,0.979
707,21,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,0.999,0.049,0.239,0.993,0.043,0.233,0.006,0.011,0.004,0.975,2.75,0.994
708,31,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,1.0,0.05,0.24,1.0,0.05,0.24,0.0,0.004,0.001,1.0,4.0,1.0
709,41,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,1.0,0.05,0.24,1.0,0.05,0.24,0.0,0.0,0.0,1.0,,1.0
710,51,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,1.0,0.05,0.24,1.0,0.05,0.24,0.0,0.0,0.0,1.0,,1.0
