voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,0.87,0.27,0.351,0.544,-0.056,0.025,0.326,0.0,0.0,0.071,,0.625
5,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,0.933,0.333,0.414,0.555,-0.045,0.036,0.378,0.006,0.032,0.087,0.188,0.595
7,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,0.948,0.348,0.429,0.525,-0.075,0.006,0.423,-0.015,0.007,0.014,-2.143,0.554
9,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,0.969,0.369,0.45,0.505,-0.095,-0.014,0.464,-0.01,0.011,-0.031,-0.909,0.521
11,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,0.985,0.385,0.466,0.583,-0.017,0.064,0.402,0.039,0.008,0.137,4.875,0.592
21,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,1.0,0.4,0.481,0.579,-0.021,0.06,0.421,-0.002,0.008,0.125,-0.25,0.579
31,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,1.0,0.4,0.481,0.561,-0.039,0.042,0.439,-0.009,0.0,0.087,-inf,0.561
41,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,1.0,0.4,0.481,0.59,-0.01,0.071,0.41,0.014,0.0,0.148,inf,0.59
51,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,1.0,0.4,0.481,0.591,-0.009,0.072,0.409,0.001,0.0,0.15,inf,0.591
3,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,0.868,0.268,0.363,0.498,-0.102,-0.007,0.37,0.0,0.0,-0.019,,0.574
