voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3,0.55,0.08,"TruncNorm[0.001,0.999]",1000,0.5499999953905459,0.0799999870528959,0.625,0.075,0.075,0.591,0.041,0.041,0.034,0.0,0.0,0.547,,0.946
5,0.55,0.08,"TruncNorm[0.001,0.999]",1000,0.5499999953905459,0.0799999870528959,0.643,0.093,0.093,0.604,0.054,0.054,0.039,0.007,0.009,0.581,0.778,0.939
7,0.55,0.08,"TruncNorm[0.001,0.999]",1000,0.5499999953905459,0.0799999870528959,0.692,0.142,0.142,0.614,0.064,0.064,0.078,0.005,0.024,0.451,0.208,0.887
9,0.55,0.08,"TruncNorm[0.001,0.999]",1000,0.5499999953905459,0.0799999870528959,0.746,0.196,0.196,0.621,0.071,0.071,0.125,0.004,0.027,0.362,0.148,0.832
11,0.55,0.08,"TruncNorm[0.001,0.999]",1000,0.5499999953905459,0.0799999870528959,0.769,0.219,0.219,0.649,0.099,0.099,0.12,0.014,0.012,0.452,1.167,0.844
21,0.55,0.08,"TruncNorm[0.001,0.999]",1000,0.5499999953905459,0.0799999870528959,0.816,0.266,0.266,0.68,0.13,0.13,0.136,0.016,0.023,0.489,0.696,0.833
31,0.55,0.08,"TruncNorm[0.001,0.999]",1000,0.5499999953905459,0.0799999870528959,0.865,0.315,0.315,0.701,0.151,0.151,0.164,0.01,0.025,0.479,0.4,0.81
41,0.55,0.08,"TruncNorm[0.001,0.999]",1000,0.5499999953905459,0.0799999870528959,0.882,0.332,0.332,0.725,0.175,0.175,0.157,0.012,0.009,0.527,1.333,0.822
51,0.55,0.08,"TruncNorm[0.001,0.999]",1000,0.5499999953905459,0.0799999870528959,0.915,0.365,0.365,0.767,0.217,0.217,0.148,0.021,0.017,0.595,1.235,0.838
3,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.5489297140239869,0.1579270639166682,0.738,0.188,0.189,0.542,-0.008,-0.007,0.196,0.0,0.0,-0.037,,0.734
5,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.5489297140239869,0.1579270639166682,0.785,0.235,0.236,0.591,0.041,0.042,0.194,0.024,0.024,0.178,1.0,0.753
7,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.5489297140239869,0.1579270639166682,0.84,0.29,0.291,0.596,0.046,0.047,0.244,0.003,0.027,0.162,0.111,0.71
9,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.5489297140239869,0.1579270639166682,0.86,0.31,0.311,0.578,0.028,0.029,0.282,-0.009,0.01,0.093,-0.9,0.672
11,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.5489297140239869,0.1579270639166682,0.869,0.319,0.32,0.625,0.075,0.076,0.244,0.024,0.005,0.238,4.8,0.719
21,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.5489297140239869,0.1579270639166682,0.955,0.405,0.406,0.676,0.126,0.127,0.279,0.026,0.043,0.313,0.605,0.708
31,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.5489297140239869,0.1579270639166682,0.973,0.423,0.424,0.717,0.167,0.168,0.256,0.02,0.009,0.396,2.222,0.737
41,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.5489297140239869,0.1579270639166682,0.989,0.439,0.44,0.74,0.19,0.191,0.249,0.012,0.008,0.434,1.5,0.748
51,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.5489297140239869,0.1579270639166682,0.994,0.444,0.445,0.768,0.218,0.219,0.226,0.014,0.003,0.492,4.667,0.773
3,0.55,0.32,"TruncNorm[0.001,0.999]",1000,0.5290095037068471,0.2432550984320321,0.837,0.287,0.308,0.566,0.016,0.037,0.271,0.0,0.0,0.12,,0.676
5,0.55,0.32,"TruncNorm[0.001,0.999]",1000,0.5290095037068471,0.2432550984320321,0.898,0.348,0.369,0.568,0.018,0.039,0.33,0.001,0.031,0.106,0.032,0.633
7,0.55,0.32,"TruncNorm[0.001,0.999]",1000,0.5290095037068471,0.2432550984320321,0.922,0.372,0.393,0.542,-0.008,0.013,0.38,-0.013,0.012,0.033,-1.083,0.588
9,0.55,0.32,"TruncNorm[0.001,0.999]",1000,0.5290095037068471,0.2432550984320321,0.942,0.392,0.413,0.561,0.011,0.032,0.381,0.01,0.01,0.077,1.0,0.596
11,0.55,0.32,"TruncNorm[0.001,0.999]",1000,0.5290095037068471,0.2432550984320321,0.958,0.408,0.429,0.59,0.04,0.061,0.368,0.014,0.008,0.142,1.75,0.616
21,0.55,0.32,"TruncNorm[0.001,0.999]",1000,0.5290095037068471,0.2432550984320321,0.998,0.448,0.469,0.624,0.074,0.095,0.374,0.017,0.02,0.203,0.85,0.625
31,0.55,0.32,"TruncNorm[0.001,0.999]",1000,0.5290095037068471,0.2432550984320321,0.999,0.449,0.47,0.637,0.087,0.108,0.362,0.007,0.001,0.23,7.0,0.638
41,0.55,0.32,"TruncNorm[0.001,0.999]",1000,0.5290095037068471,0.2432550984320321,1.0,0.45,0.471,0.645,0.095,0.116,0.355,0.004,0.001,0.246,4.0,0.645
51,0.55,0.32,"TruncNorm[0.001,0.999]",1000,0.5290095037068471,0.2432550984320321,1.0,0.45,0.471,0.668,0.118,0.139,0.332,0.012,0.0,0.295,inf,0.668
3,0.55,0.64,"TruncNorm[0.001,0.999]",1000,0.5093333089429175,0.2764526969282136,0.863,0.313,0.354,0.537,-0.013,0.028,0.326,0.0,0.0,0.078,,0.622
5,0.55,0.64,"TruncNorm[0.001,0.999]",1000,0.5093333089429175,0.2764526969282136,0.914,0.364,0.405,0.529,-0.021,0.02,0.385,-0.004,0.026,0.049,-0.154,0.579
7,0.55,0.64,"TruncNorm[0.001,0.999]",1000,0.5093333089429175,0.2764526969282136,0.955,0.405,0.446,0.514,-0.036,0.005,0.441,-0.008,0.02,0.01,-0.4,0.538
9,0.55,0.64,"TruncNorm[0.001,0.999]",1000,0.5093333089429175,0.2764526969282136,0.981,0.431,0.472,0.506,-0.044,-0.003,0.475,-0.004,0.013,-0.007,-0.308,0.516
11,0.55,0.64,"TruncNorm[0.001,0.999]",1000,0.5093333089429175,0.2764526969282136,0.988,0.438,0.479,0.51,-0.04,0.001,0.478,0.002,0.004,0.001,0.5,0.516
21,0.55,0.64,"TruncNorm[0.001,0.999]",1000,0.5093333089429175,0.2764526969282136,1.0,0.45,0.491,0.562,0.012,0.053,0.438,0.026,0.006,0.107,4.333,0.562
31,0.55,0.64,"TruncNorm[0.001,0.999]",1000,0.5093333089429175,0.2764526969282136,1.0,0.45,0.491,0.534,-0.016,0.025,0.466,-0.014,0.0,0.05,-inf,0.534
41,0.55,0.64,"TruncNorm[0.001,0.999]",1000,0.5093333089429175,0.2764526969282136,1.0,0.45,0.491,0.53,-0.02,0.021,0.47,-0.002,0.0,0.042,-inf,0.53
51,0.55,0.64,"TruncNorm[0.001,0.999]",1000,0.5093333089429175,0.2764526969282136,1.0,0.45,0.491,0.571,0.021,0.062,0.429,0.02,0.0,0.126,inf,0.571
3,0.55,1.28,"TruncNorm[0.001,0.999]",1000,0.50248197988839,0.2851790594248402,0.896,0.346,0.394,0.516,-0.034,0.014,0.38,0.0,0.0,0.034,,0.576
5,0.55,1.28,"TruncNorm[0.001,0.999]",1000,0.50248197988839,0.2851790594248402,0.945,0.395,0.443,0.52,-0.03,0.018,0.425,0.002,0.024,0.04,0.083,0.55
7,0.55,1.28,"TruncNorm[0.001,0.999]",1000,0.50248197988839,0.2851790594248402,0.967,0.417,0.465,0.51,-0.04,0.008,0.457,-0.005,0.011,0.016,-0.455,0.527
9,0.55,1.28,"TruncNorm[0.001,0.999]",1000,0.50248197988839,0.2851790594248402,0.982,0.432,0.48,0.516,-0.034,0.014,0.466,0.003,0.008,0.028,0.375,0.525
11,0.55,1.28,"TruncNorm[0.001,0.999]",1000,0.50248197988839,0.2851790594248402,0.989,0.439,0.487,0.492,-0.058,-0.01,0.497,-0.012,0.004,-0.022,-3.0,0.497
21,0.55,1.28,"TruncNorm[0.001,0.999]",1000,0.50248197988839,0.2851790594248402,0.998,0.448,0.496,0.488,-0.062,-0.014,0.51,-0.002,0.005,-0.029,-0.4,0.489
31,0.55,1.28,"TruncNorm[0.001,0.999]",1000,0.50248197988839,0.2851790594248402,1.0,0.45,0.498,0.495,-0.055,-0.007,0.505,0.004,0.001,-0.015,4.0,0.495
41,0.55,1.28,"TruncNorm[0.001,0.999]",1000,0.50248197988839,0.2851790594248402,1.0,0.45,0.498,0.483,-0.067,-0.019,0.517,-0.006,0.0,-0.039,-inf,0.483
51,0.55,1.28,"TruncNorm[0.001,0.999]",1000,0.50248197988839,0.2851790594248402,1.0,0.45,0.498,0.522,-0.028,0.02,0.478,0.02,0.0,0.039,inf,0.522
3,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,0.899,0.349,0.398,0.491,-0.059,-0.01,0.408,0.0,0.0,-0.024,,0.546
5,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,0.941,0.391,0.44,0.545,-0.005,0.044,0.396,0.027,0.021,0.101,1.286,0.579
7,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,0.958,0.408,0.457,0.488,-0.062,-0.013,0.47,-0.029,0.009,-0.028,-3.222,0.509
9,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,0.982,0.432,0.481,0.498,-0.052,-0.003,0.484,0.005,0.012,-0.005,0.417,0.507
11,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,0.986,0.436,0.485,0.505,-0.045,0.004,0.481,0.004,0.002,0.009,2.0,0.512
21,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,0.997,0.447,0.496,0.548,-0.002,0.047,0.449,0.022,0.006,0.095,3.667,0.55
31,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,1.0,0.45,0.499,0.479,-0.071,-0.022,0.521,-0.035,0.002,-0.043,-17.5,0.479
41,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,1.0,0.45,0.499,0.525,-0.025,0.024,0.475,0.023,0.0,0.049,inf,0.525
51,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,1.0,0.45,0.499,0.521,-0.029,0.02,0.479,-0.002,0.0,0.041,-inf,0.521
3,0.6,0.01,"TruncNorm[0.001,0.999]",1000,0.6,0.01,0.657,0.057,0.057,0.657,0.057,0.057,0.0,0.0,0.0,1.0,,1.0
5,0.6,0.01,"TruncNorm[0.001,0.999]",1000,0.6,0.01,0.684,0.084,0.084,0.684,0.084,0.084,0.0,0.014,0.014,1.0,1.0,1.0
7,0.6,0.01,"TruncNorm[0.001,0.999]",1000,0.6,0.01,0.725,0.125,0.125,0.725,0.125,0.125,0.0,0.02,0.02,1.0,1.0,1.0
9,0.6,0.01,"TruncNorm[0.001,0.999]",1000,0.6,0.01,0.725,0.125,0.125,0.725,0.125,0.125,0.0,0.0,0.0,1.0,,1.0
11,0.6,0.01,"TruncNorm[0.001,0.999]",1000,0.6,0.01,0.756,0.156,0.156,0.756,0.156,0.156,0.0,0.016,0.016,1.0,1.0,1.0
21,0.6,0.01,"TruncNorm[0.001,0.999]",1000,0.6,0.01,0.83,0.23,0.23,0.83,0.23,0.23,0.0,0.037,0.037,1.0,1.0,1.0
31,0.6,0.01,"TruncNorm[0.001,0.999]",1000,0.6,0.01,0.881,0.281,0.281,0.883,0.283,0.283,-0.002,0.027,0.026,1.007,1.038,1.002
41,0.6,0.01,"TruncNorm[0.001,0.999]",1000,0.6,0.01,0.916,0.316,0.316,0.917,0.317,0.317,-0.001,0.017,0.018,1.003,0.944,1.001
51,0.6,0.01,"TruncNorm[0.001,0.999]",1000,0.6,0.01,0.936,0.336,0.336,0.936,0.336,0.336,0.0,0.01,0.01,1.0,1.0,1.0
3,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.636,0.036,0.036,0.635,0.035,0.035,0.001,0.0,0.0,0.972,,0.998
5,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.693,0.093,0.093,0.689,0.089,0.089,0.004,0.027,0.028,0.957,0.964,0.994
7,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.716,0.116,0.116,0.711,0.111,0.111,0.005,0.011,0.012,0.957,0.917,0.993
9,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.722,0.122,0.122,0.723,0.123,0.123,-0.001,0.006,0.003,1.008,2.0,1.001
11,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.731,0.131,0.131,0.733,0.133,0.133,-0.002,0.005,0.005,1.015,1.0,1.003
21,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.822,0.222,0.222,0.821,0.221,0.221,0.001,0.044,0.045,0.995,0.978,0.999
31,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.888,0.288,0.288,0.872,0.272,0.272,0.016,0.026,0.033,0.944,0.788,0.982
41,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.911,0.311,0.311,0.901,0.301,0.301,0.01,0.015,0.012,0.968,1.25,0.989
51,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.924,0.324,0.324,0.921,0.321,0.321,0.003,0.01,0.007,0.991,1.429,0.997
3,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.663,0.063,0.063,0.662,0.062,0.062,0.001,0.0,0.0,0.984,,0.998
5,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.692,0.092,0.092,0.679,0.079,0.079,0.013,0.009,0.014,0.859,0.643,0.981
7,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.716,0.116,0.116,0.704,0.104,0.104,0.012,0.012,0.012,0.897,1.0,0.983
9,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.753,0.153,0.153,0.742,0.142,0.142,0.011,0.019,0.019,0.928,1.0,0.985
11,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.719,0.119,0.119,0.701,0.101,0.101,0.018,-0.021,-0.017,0.849,1.235,0.975
21,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.839,0.239,0.239,0.813,0.213,0.213,0.026,0.056,0.06,0.891,0.933,0.969
31,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.89,0.29,0.29,0.877,0.277,0.277,0.013,0.032,0.026,0.955,1.231,0.985
41,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.916,0.316,0.316,0.901,0.301,0.301,0.015,0.012,0.013,0.953,0.923,0.984
51,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.932,0.332,0.332,0.93,0.33,0.33,0.002,0.015,0.008,0.994,1.875,0.998
3,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.68,0.08,0.08,0.636,0.036,0.036,0.044,0.0,0.0,0.45,,0.935
5,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.728,0.128,0.128,0.687,0.087,0.087,0.041,0.026,0.024,0.68,1.083,0.944
7,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.767,0.167,0.167,0.719,0.119,0.119,0.048,0.016,0.02,0.713,0.8,0.937
9,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.797,0.197,0.197,0.744,0.144,0.144,0.053,0.013,0.015,0.731,0.867,0.934
11,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.827,0.227,0.227,0.789,0.189,0.189,0.038,0.023,0.015,0.833,1.533,0.954
21,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.887,0.287,0.287,0.818,0.218,0.218,0.069,0.014,0.03,0.76,0.467,0.922
31,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.927,0.327,0.327,0.876,0.276,0.276,0.051,0.029,0.02,0.844,1.45,0.945
41,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.944,0.344,0.344,0.905,0.305,0.305,0.039,0.015,0.008,0.887,1.875,0.959
51,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.961,0.361,0.361,0.926,0.326,0.326,0.035,0.011,0.009,0.903,1.222,0.964
3,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.746,0.146,0.149,0.682,0.082,0.085,0.064,0.0,0.0,0.57,,0.914
5,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.822,0.222,0.225,0.685,0.085,0.088,0.137,0.002,0.038,0.391,0.053,0.833
7,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.862,0.262,0.265,0.704,0.104,0.107,0.158,0.009,0.02,0.403,0.45,0.817
9,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.897,0.297,0.3,0.739,0.139,0.142,0.158,0.018,0.018,0.473,1.0,0.824
11,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.903,0.303,0.306,0.746,0.146,0.149,0.157,0.004,0.003,0.487,1.333,0.826
21,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.964,0.364,0.367,0.808,0.208,0.211,0.156,0.031,0.03,0.575,1.033,0.838
31,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.988,0.388,0.391,0.835,0.235,0.238,0.153,0.013,0.012,0.609,1.083,0.845
41,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.998,0.398,0.401,0.895,0.295,0.298,0.103,0.03,0.005,0.743,6.0,0.897
51,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.998,0.398,0.401,0.928,0.328,0.331,0.07,0.017,0.0,0.825,inf,0.93
3,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.824,0.224,0.266,0.571,-0.029,0.013,0.253,0.0,0.0,0.05,,0.693
5,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.894,0.294,0.336,0.596,-0.004,0.038,0.298,0.013,0.035,0.114,0.371,0.667
7,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.939,0.339,0.381,0.656,0.056,0.098,0.283,0.03,0.022,0.258,1.364,0.699
9,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.957,0.357,0.399,0.66,0.06,0.102,0.297,0.002,0.009,0.256,0.222,0.69
11,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.96,0.36,0.402,0.645,0.045,0.087,0.315,-0.008,0.002,0.217,-4.0,0.672
21,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.994,0.394,0.436,0.701,0.101,0.143,0.293,0.028,0.017,0.328,1.647,0.705
31,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.999,0.399,0.441,0.75,0.15,0.192,0.249,0.025,0.003,0.436,8.333,0.751
41,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,1.0,0.4,0.442,0.776,0.176,0.218,0.224,0.013,0.001,0.494,13.0,0.776
51,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,1.0,0.4,0.442,0.811,0.211,0.253,0.189,0.018,0.0,0.573,inf,0.811
3,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,0.853,0.253,0.334,0.507,-0.093,-0.012,0.346,0.0,0.0,-0.035,,0.594
5,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,0.927,0.327,0.408,0.543,-0.057,0.024,0.384,0.018,0.037,0.06,0.486,0.586
7,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,0.97,0.37,0.451,0.572,-0.028,0.053,0.398,0.014,0.021,0.118,0.667,0.59
9,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,0.983,0.383,0.464,0.552,-0.048,0.033,0.431,-0.01,0.007,0.072,-1.429,0.562
11,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,0.989,0.389,0.47,0.547,-0.053,0.028,0.442,-0.003,0.003,0.06,-1.0,0.553
21,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,0.998,0.398,0.479,0.585,-0.015,0.066,0.413,0.019,0.005,0.138,3.8,0.586
31,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,1.0,0.4,0.481,0.63,0.03,0.111,0.37,0.023,0.001,0.231,23.0,0.63
41,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,1.0,0.4,0.481,0.585,-0.015,0.066,0.415,-0.023,0.0,0.138,-inf,0.585
51,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,1.0,0.4,0.481,0.599,-0.001,0.08,0.401,0.007,0.0,0.167,inf,0.599
3,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,0.876,0.276,0.371,0.507,-0.093,0.002,0.369,0.0,0.0,0.005,,0.579
5,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,0.924,0.324,0.419,0.497,-0.103,-0.008,0.427,-0.005,0.024,-0.019,-0.208,0.538
7,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,0.969,0.369,0.464,0.521,-0.079,0.016,0.448,0.012,0.022,0.035,0.545,0.538
