distribution,voters,mean,std,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
"TruncNorm[0.001,0.999]",11,Upper,Lower,0.899,0.022,0.999,0.099,0.1,0.999,0.099,0.1,0.0,0.001,0.001,1.0,1.0,1.0
"TruncNorm[0.001,0.999]",11,Upper,Medium,0.805,0.129,0.996,0.096,0.192,0.975,0.075,0.17,0.022,0.006,0.003,0.923,1.923,0.978
"TruncNorm[0.001,0.999]",11,Upper,Upper,0.533,0.281,0.988,0.088,0.455,0.594,-0.306,0.061,0.395,0.007,0.005,0.142,2.467,0.601
"TruncNorm[0.001,0.999]",21,Lower,Lower,0.6,0.023,0.818,0.218,0.218,0.806,0.206,0.206,0.012,0.034,0.037,0.932,0.89,0.984
"TruncNorm[0.001,0.999]",21,Lower,Medium,0.585,0.159,0.95,0.35,0.366,0.771,0.171,0.186,0.18,0.027,0.027,0.539,1.263,0.813
"TruncNorm[0.001,0.999]",21,Lower,Upper,0.508,0.283,0.998,0.398,0.49,0.529,-0.071,0.021,0.469,0.0,0.006,0.042,0.019,0.53
"TruncNorm[0.001,0.999]",21,Medium,Lower,0.75,0.023,0.989,0.239,0.239,0.989,0.239,0.239,0.0,0.015,0.015,1.0,1.006,1.0
"TruncNorm[0.001,0.999]",21,Medium,Medium,0.705,0.149,0.996,0.246,0.291,0.955,0.205,0.249,0.041,0.023,0.011,0.881,3.123,0.958
"TruncNorm[0.001,0.999]",21,Medium,Upper,0.521,0.282,0.999,0.249,0.478,0.571,-0.179,0.05,0.428,0.008,0.007,0.11,1.1,0.572
"TruncNorm[0.001,0.999]",21,Upper,Lower,0.899,0.022,1.0,0.1,0.101,1.0,0.1,0.101,0.0,0.001,0.001,1.0,1.0,1.0
"TruncNorm[0.001,0.999]",21,Upper,Medium,0.805,0.129,0.999,0.099,0.195,0.994,0.094,0.189,0.005,0.01,0.002,0.982,inf,0.995
"TruncNorm[0.001,0.999]",21,Upper,Upper,0.533,0.281,0.999,0.099,0.466,0.616,-0.284,0.083,0.383,0.011,0.006,0.188,1.743,0.617
"TruncNorm[0.001,0.999]",31,Lower,Lower,0.6,0.023,0.863,0.263,0.263,0.852,0.252,0.252,0.011,0.023,0.022,0.951,1.022,0.986
"TruncNorm[0.001,0.999]",31,Lower,Medium,0.585,0.159,0.969,0.369,0.384,0.803,0.203,0.219,0.166,0.016,0.009,0.595,3.48,0.83
"TruncNorm[0.001,0.999]",31,Lower,Upper,0.508,0.283,1.0,0.4,0.492,0.542,-0.058,0.033,0.458,0.007,0.001,0.069,,0.542
"TruncNorm[0.001,0.999]",31,Medium,Lower,0.75,0.023,0.996,0.246,0.246,0.997,0.247,0.247,-0.0,0.004,0.004,1.001,1.15,1.0
"TruncNorm[0.001,0.999]",31,Medium,Medium,0.705,0.149,0.999,0.249,0.294,0.976,0.226,0.27,0.023,0.011,0.002,0.936,inf,0.977
"TruncNorm[0.001,0.999]",31,Medium,Upper,0.521,0.282,1.0,0.25,0.479,0.59,-0.16,0.07,0.41,0.01,0.001,0.151,inf,0.59
"TruncNorm[0.001,0.999]",31,Upper,Lower,0.899,0.022,1.0,0.1,0.101,1.0,0.1,0.101,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.001,0.999]",31,Upper,Medium,0.805,0.129,1.0,0.1,0.195,0.998,0.098,0.193,0.002,0.002,0.0,0.993,inf,0.998
"TruncNorm[0.001,0.999]",31,Upper,Upper,0.533,0.281,1.0,0.1,0.467,0.637,-0.263,0.104,0.363,0.011,0.001,0.235,,0.637
"TruncNorm[0.001,0.999]",41,Lower,Lower,0.6,0.023,0.884,0.284,0.284,0.875,0.275,0.275,0.008,0.012,0.011,0.967,1.453,0.99
"TruncNorm[0.001,0.999]",41,Lower,Medium,0.585,0.159,0.978,0.378,0.393,0.833,0.233,0.248,0.145,0.015,0.005,0.653,7.116,0.852
"TruncNorm[0.001,0.999]",41,Lower,Upper,0.508,0.283,1.0,0.4,0.492,0.538,-0.062,0.029,0.462,-0.002,0.0,0.061,,0.538
"TruncNorm[0.001,0.999]",41,Medium,Lower,0.75,0.023,0.998,0.248,0.248,0.998,0.248,0.248,0.0,0.001,0.001,0.999,0.75,1.0
"TruncNorm[0.001,0.999]",41,Medium,Medium,0.705,0.149,1.0,0.25,0.294,0.986,0.236,0.281,0.014,0.005,0.0,0.963,,0.986
"TruncNorm[0.001,0.999]",41,Medium,Upper,0.521,0.282,1.0,0.25,0.479,0.608,-0.142,0.087,0.392,0.009,0.0,0.189,,0.608
"TruncNorm[0.001,0.999]",41,Upper,Lower,0.899,0.022,1.0,0.1,0.101,1.0,0.1,0.101,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.001,0.999]",41,Upper,Medium,0.805,0.129,1.0,0.1,0.195,0.999,0.099,0.194,0.001,0.001,0.0,0.996,inf,0.999
"TruncNorm[0.001,0.999]",41,Upper,Upper,0.533,0.281,1.0,0.1,0.467,0.656,-0.244,0.123,0.344,0.009,0.0,0.278,,0.656
"TruncNorm[0.001,0.999]",51,Lower,Lower,0.6,0.023,0.903,0.303,0.303,0.894,0.294,0.294,0.009,0.01,0.01,0.965,0.983,0.989
"TruncNorm[0.001,0.999]",51,Lower,Medium,0.585,0.159,0.984,0.384,0.399,0.86,0.26,0.275,0.124,0.014,0.003,0.71,inf,0.874
"TruncNorm[0.001,0.999]",51,Lower,Upper,0.508,0.283,1.0,0.4,0.492,0.551,-0.049,0.043,0.449,0.007,0.0,0.089,,0.551
"TruncNorm[0.001,0.999]",51,Medium,Lower,0.75,0.023,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.001,0.001,1.0,1.1,1.0
"TruncNorm[0.001,0.999]",51,Medium,Medium,0.705,0.149,1.0,0.25,0.294,0.992,0.242,0.286,0.008,0.003,0.0,0.978,inf,0.992
"TruncNorm[0.001,0.999]",51,Medium,Upper,0.521,0.282,1.0,0.25,0.479,0.612,-0.138,0.092,0.388,0.002,0.0,0.198,,0.612
"TruncNorm[0.001,0.999]",51,Upper,Lower,0.899,0.022,1.0,0.1,0.101,1.0,0.1,0.101,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.001,0.999]",51,Upper,Medium,0.805,0.129,1.0,0.1,0.195,1.0,0.1,0.195,0.0,0.0,0.0,0.999,inf,1.0
"TruncNorm[0.001,0.999]",51,Upper,Upper,0.533,0.281,1.0,0.1,0.467,0.674,-0.226,0.141,0.326,0.009,0.0,0.318,,0.674
