distribution,voters,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
truncnorm,7.0,0.55,0.08,1000.0,0.5862472077293333,0.701,0.1509999999999999,0.1147527922706667,0.667,0.1169999999999999,0.0807527922706667,0.034,0.012,0.014,0.704,0.857,0.951
truncnorm,9.0,0.55,0.08,1000.0,0.5862472077293333,0.736,0.1859999999999999,0.1497527922706667,0.704,0.1539999999999999,0.1177527922706667,0.032,0.018,0.018,0.786,1.0,0.957
truncnorm,11.0,0.55,0.08,1000.0,0.5862472077293333,0.789,0.239,0.2027527922706667,0.735,0.1849999999999999,0.1487527922706667,0.054,0.016,0.027,0.734,0.593,0.932
truncnorm,21.0,0.55,0.08,1000.0,0.5862472077293333,0.818,0.2679999999999999,0.2317527922706667,0.767,0.2169999999999999,0.1807527922706667,0.051,0.016,0.014,0.78,1.143,0.938
truncnorm,31.0,0.55,0.08,1000.0,0.5862472077293333,0.849,0.2989999999999999,0.2627527922706667,0.809,0.259,0.2227527922706668,0.04,0.021,0.016,0.848,1.312,0.953
truncnorm,41.0,0.55,0.08,1000.0,0.5862472077293333,0.921,0.371,0.3347527922706668,0.865,0.3149999999999999,0.2787527922706667,0.056,0.028,0.036,0.833,0.778,0.939
truncnorm,51.0,0.55,0.08,1000.0,0.5862472077293333,0.936,0.386,0.3497527922706668,0.896,0.346,0.3097527922706667,0.04,0.016,0.008,0.886,2.0,0.957
truncnorm,3.0,0.55,0.09,1000.0,0.5937931619750162,0.65,0.0999999999999999,0.0562068380249838,0.653,0.1029999999999999,0.0592068380249838,-0.003,0.0,0.0,1.053,,1.005
truncnorm,5.0,0.55,0.09,1000.0,0.5937931619750162,0.699,0.1489999999999999,0.1052068380249837,0.675,0.125,0.0812068380249838,0.024,0.011,0.024,0.772,0.458,0.966
truncnorm,7.0,0.55,0.09,1000.0,0.5937931619750162,0.726,0.1759999999999999,0.1322068380249837,0.701,0.1509999999999999,0.1072068380249837,0.025,0.013,0.014,0.811,0.929,0.966
truncnorm,9.0,0.55,0.09,1000.0,0.5937931619750162,0.762,0.2119999999999999,0.1682068380249838,0.731,0.1809999999999999,0.1372068380249838,0.031,0.015,0.018,0.816,0.833,0.959
truncnorm,11.0,0.55,0.09,1000.0,0.5937931619750162,0.784,0.2339999999999999,0.1902068380249838,0.752,0.2019999999999999,0.1582068380249838,0.032,0.011,0.011,0.832,1.0,0.959
truncnorm,21.0,0.55,0.09,1000.0,0.5937931619750162,0.861,0.3109999999999999,0.2672068380249838,0.818,0.2679999999999999,0.2242068380249837,0.043,0.033,0.038,0.839,0.868,0.95
truncnorm,31.0,0.55,0.09,1000.0,0.5937931619750162,0.88,0.3299999999999999,0.2862068380249838,0.836,0.2859999999999999,0.2422068380249837,0.044,0.009,0.01,0.846,0.9,0.95
truncnorm,41.0,0.55,0.09,1000.0,0.5937931619750162,0.925,0.375,0.3312068380249838,0.883,0.3329999999999999,0.2892068380249838,0.042,0.024,0.023,0.873,1.043,0.955
truncnorm,51.0,0.55,0.09,1000.0,0.5937931619750162,0.96,0.4099999999999999,0.3662068380249837,0.924,0.374,0.3302068380249838,0.036,0.021,0.017,0.902,1.235,0.963
truncnorm,3.0,0.55,0.12,1000.0,0.6168295337958563,0.716,0.1659999999999999,0.0991704662041437,0.687,0.137,0.0701704662041438,0.029,0.0,0.0,0.708,,0.959
truncnorm,5.0,0.55,0.12,1000.0,0.6168295337958563,0.731,0.1809999999999999,0.1141704662041437,0.719,0.1689999999999999,0.1021704662041437,0.012,0.016,0.008,0.895,2.0,0.984
truncnorm,7.0,0.55,0.12,1000.0,0.6168295337958563,0.763,0.2129999999999999,0.1461704662041437,0.741,0.1909999999999999,0.1241704662041437,0.022,0.011,0.016,0.849,0.688,0.971
truncnorm,9.0,0.55,0.12,1000.0,0.6168295337958563,0.821,0.2709999999999999,0.2041704662041437,0.773,0.2229999999999999,0.1561704662041437,0.048,0.016,0.029,0.765,0.552,0.942
truncnorm,11.0,0.55,0.12,1000.0,0.6168295337958563,0.826,0.2759999999999999,0.2091704662041437,0.772,0.2219999999999999,0.1551704662041437,0.054,-0.001,0.003,0.742,-0.333,0.935
truncnorm,21.0,0.55,0.12,1000.0,0.6168295337958563,0.928,0.378,0.3111704662041438,0.869,0.3189999999999999,0.2521704662041437,0.059,0.048,0.051,0.81,0.941,0.936
truncnorm,31.0,0.55,0.12,1000.0,0.6168295337958563,0.941,0.3909999999999999,0.3241704662041437,0.897,0.347,0.2801704662041437,0.044,0.014,0.006,0.864,2.333,0.953
truncnorm,41.0,0.55,0.12,1000.0,0.6168295337958563,0.979,0.4289999999999999,0.3621704662041437,0.943,0.3929999999999999,0.3261704662041437,0.036,0.023,0.019,0.901,1.211,0.963
truncnorm,51.0,0.55,0.12,1000.0,0.6168295337958563,0.986,0.4359999999999999,0.3691704662041437,0.945,0.3949999999999999,0.3281704662041437,0.041,0.001,0.004,0.889,0.25,0.958
truncnorm,3.0,0.55,0.13,1000.0,0.6245010983283475,0.705,0.1549999999999999,0.0804989016716524,0.686,0.136,0.0614989016716525,0.019,0.0,0.0,0.764,,0.973
truncnorm,5.0,0.55,0.13,1000.0,0.6245010983283475,0.777,0.2269999999999999,0.1524989016716524,0.744,0.1939999999999999,0.1194989016716524,0.033,0.029,0.036,0.784,0.806,0.958
truncnorm,7.0,0.55,0.13,1000.0,0.6245010983283475,0.799,0.249,0.1744989016716525,0.748,0.1979999999999999,0.1234989016716524,0.051,0.002,0.011,0.708,0.182,0.936
truncnorm,9.0,0.55,0.13,1000.0,0.6245010983283475,0.851,0.3009999999999999,0.2264989016716524,0.801,0.251,0.1764989016716525,0.05,0.027,0.026,0.779,1.038,0.941
truncnorm,11.0,0.55,0.13,1000.0,0.6245010983283475,0.874,0.3239999999999999,0.2494989016716524,0.814,0.2639999999999999,0.1894989016716524,0.06,0.006,0.012,0.76,0.5,0.931
truncnorm,21.0,0.55,0.13,1000.0,0.6245010983283475,0.932,0.382,0.3074989016716525,0.882,0.3319999999999999,0.2574989016716524,0.05,0.034,0.029,0.837,1.172,0.946
truncnorm,31.0,0.55,0.13,1000.0,0.6245010983283475,0.966,0.4159999999999999,0.3414989016716524,0.927,0.377,0.3024989016716525,0.039,0.023,0.017,0.886,1.353,0.96
truncnorm,41.0,0.55,0.13,1000.0,0.6245010983283475,0.987,0.4369999999999999,0.3624989016716524,0.955,0.4049999999999999,0.3304989016716524,0.032,0.014,0.011,0.912,1.273,0.968
truncnorm,51.0,0.55,0.13,1000.0,0.6245010983283475,0.982,0.4319999999999999,0.3574989016716524,0.961,0.4109999999999999,0.3364989016716524,0.021,0.003,-0.003,0.941,-1.0,0.979
truncnorm,3.0,0.55,0.14,1000.0,0.6320664588183131,0.735,0.1849999999999999,0.1029335411816868,0.696,0.1459999999999999,0.0639335411816868,0.039,0.0,0.0,0.621,,0.947
truncnorm,5.0,0.55,0.14,1000.0,0.6320664588183131,0.758,0.2079999999999999,0.1259335411816868,0.734,0.1839999999999999,0.1019335411816868,0.024,0.019,0.012,0.809,1.583,0.968
truncnorm,7.0,0.55,0.14,1000.0,0.6320664588183131,0.798,0.248,0.1659335411816869,0.759,0.2089999999999999,0.1269335411816868,0.039,0.013,0.02,0.765,0.65,0.951
truncnorm,9.0,0.55,0.14,1000.0,0.6320664588183131,0.826,0.2759999999999999,0.1939335411816868,0.778,0.2279999999999999,0.1459335411816869,0.048,0.01,0.014,0.752,0.714,0.942
truncnorm,11.0,0.55,0.14,1000.0,0.6320664588183131,0.862,0.3119999999999999,0.2299335411816868,0.804,0.254,0.1719335411816869,0.058,0.013,0.018,0.748,0.722,0.933
truncnorm,21.0,0.55,0.14,1000.0,0.6320664588183131,0.944,0.3939999999999999,0.3119335411816868,0.904,0.354,0.2719335411816869,0.04,0.05,0.041,0.872,1.22,0.958
truncnorm,31.0,0.55,0.14,1000.0,0.6320664588183131,0.975,0.4249999999999999,0.3429335411816868,0.931,0.381,0.2989335411816869,0.044,0.014,0.016,0.872,0.875,0.955
truncnorm,41.0,0.55,0.14,1000.0,0.6320664588183131,0.983,0.4329999999999999,0.3509335411816868,0.965,0.4149999999999999,0.3329335411816868,0.018,0.017,0.004,0.949,4.25,0.982
truncnorm,51.0,0.55,0.14,1000.0,0.6320664588183131,0.991,0.4409999999999999,0.3589335411816868,0.975,0.4249999999999999,0.3429335411816868,0.016,0.005,0.004,0.955,1.25,0.984
truncnorm,3.0,0.6,0.02,1000.0,0.6000000381320322,0.665,0.065,0.0649999618679678,0.665,0.065,0.0649999618679678,0.0,0.0,0.0,1.0,,1.0
truncnorm,5.0,0.6,0.02,1000.0,0.6000000381320322,0.671,0.071,0.0709999618679678,0.674,0.074,0.0739999618679678,-0.003,0.005,0.003,1.042,1.667,1.004
truncnorm,7.0,0.6,0.02,1000.0,0.6000000381320322,0.72,0.12,0.1199999618679678,0.72,0.12,0.1199999618679678,0.0,0.023,0.024,1.0,0.958,1.0
truncnorm,9.0,0.6,0.02,1000.0,0.6000000381320322,0.733,0.133,0.1329999618679678,0.728,0.128,0.1279999618679678,0.005,0.004,0.007,0.962,0.571,0.993
truncnorm,11.0,0.6,0.02,1000.0,0.6000000381320322,0.77,0.17,0.1699999618679678,0.763,0.163,0.1629999618679678,0.007,0.018,0.019,0.959,0.947,0.991
truncnorm,21.0,0.6,0.02,1000.0,0.6000000381320322,0.822,0.2219999999999999,0.2219999618679677,0.815,0.2149999999999999,0.2149999618679677,0.007,0.026,0.026,0.968,1.0,0.991
truncnorm,31.0,0.6,0.02,1000.0,0.6000000381320322,0.867,0.267,0.2669999618679678,0.852,0.252,0.2519999618679678,0.015,0.019,0.023,0.944,0.826,0.983
truncnorm,41.0,0.6,0.02,1000.0,0.6000000381320322,0.906,0.306,0.3059999618679678,0.903,0.303,0.3029999618679678,0.003,0.026,0.02,0.99,1.3,0.997
truncnorm,51.0,0.6,0.02,1000.0,0.6000000381320322,0.931,0.331,0.3309999618679679,0.928,0.328,0.3279999618679678,0.003,0.013,0.013,0.991,1.0,0.997
truncnorm,3.0,0.6,0.03,1000.0,0.6000517020621967,0.629,0.029,0.0289482979378032,0.623,0.023,0.0229482979378032,0.006,0.0,0.0,0.793,,0.99
truncnorm,5.0,0.6,0.03,1000.0,0.6000517020621967,0.668,0.068,0.0679482979378033,0.668,0.068,0.0679482979378033,0.0,0.023,0.02,1.0,1.15,1.0
truncnorm,7.0,0.6,0.03,1000.0,0.6000517020621967,0.686,0.086,0.0859482979378033,0.682,0.082,0.0819482979378033,0.004,0.007,0.009,0.953,0.778,0.994
truncnorm,9.0,0.6,0.03,1000.0,0.6000517020621967,0.754,0.154,0.1539482979378033,0.743,0.143,0.1429482979378032,0.011,0.03,0.034,0.929,0.882,0.985
truncnorm,11.0,0.6,0.03,1000.0,0.6000517020621967,0.759,0.159,0.1589482979378033,0.747,0.147,0.1469482979378032,0.012,0.002,0.003,0.925,0.667,0.984
truncnorm,21.0,0.6,0.03,1000.0,0.6000517020621967,0.839,0.239,0.2389482979378032,0.84,0.24,0.2399482979378032,-0.001,0.046,0.04,1.004,1.15,1.001
truncnorm,31.0,0.6,0.03,1000.0,0.6000517020621967,0.868,0.268,0.2679482979378033,0.866,0.266,0.2659482979378033,0.002,0.013,0.015,0.993,0.867,0.998
truncnorm,41.0,0.6,0.03,1000.0,0.6000517020621967,0.921,0.321,0.3209482979378033,0.908,0.308,0.3079482979378033,0.013,0.021,0.027,0.959,0.778,0.986
truncnorm,51.0,0.6,0.03,1000.0,0.6000517020621967,0.945,0.345,0.3449482979378032,0.937,0.3370000000000001,0.3369482979378033,0.008,0.015,0.012,0.977,1.25,0.992
truncnorm,3.0,0.6,0.04,1000.0,0.6007511217813778,0.668,0.068,0.0672488782186222,0.663,0.063,0.0622488782186222,0.005,0.0,0.0,0.926,,0.993
truncnorm,5.0,0.6,0.04,1000.0,0.6007511217813778,0.69,0.0899999999999999,0.0892488782186221,0.673,0.073,0.0722488782186222,0.017,0.005,0.011,0.81,0.455,0.975
truncnorm,7.0,0.6,0.04,1000.0,0.6007511217813778,0.718,0.118,0.1172488782186221,0.717,0.1169999999999999,0.1162488782186221,0.001,0.022,0.014,0.991,1.571,0.999
truncnorm,9.0,0.6,0.04,1000.0,0.6007511217813778,0.744,0.144,0.1432488782186222,0.751,0.151,0.1502488782186222,-0.007,0.017,0.013,1.049,1.308,1.009
truncnorm,11.0,0.6,0.04,1000.0,0.6007511217813778,0.753,0.153,0.1522488782186222,0.737,0.137,0.1362488782186222,0.016,-0.007,0.005,0.895,-1.4,0.979
truncnorm,21.0,0.6,0.04,1000.0,0.6007511217813778,0.867,0.267,0.2662488782186222,0.844,0.244,0.2432488782186221,0.023,0.053,0.057,0.914,0.93,0.973
truncnorm,31.0,0.6,0.04,1000.0,0.6007511217813778,0.88,0.28,0.2792488782186222,0.861,0.261,0.2602488782186222,0.019,0.009,0.007,0.932,1.286,0.978
truncnorm,41.0,0.6,0.04,1000.0,0.6007511217813778,0.924,0.324,0.3232488782186222,0.917,0.317,0.3162488782186222,0.007,0.028,0.022,0.978,1.273,0.992
truncnorm,51.0,0.6,0.04,1000.0,0.6007511217813778,0.946,0.346,0.3452488782186221,0.938,0.3379999999999999,0.3372488782186221,0.008,0.01,0.011,0.977,0.909,0.992
truncnorm,3.0,0.6,0.07,1000.0,0.6111490891665544,0.685,0.085,0.0738509108334456,0.661,0.061,0.0498509108334456,0.024,0.0,0.0,0.675,,0.965
truncnorm,5.0,0.6,0.07,1000.0,0.6111490891665544,0.701,0.1009999999999999,0.0898509108334455,0.698,0.0979999999999999,0.0868509108334455,0.003,0.018,0.008,0.967,2.25,0.996
truncnorm,7.0,0.6,0.07,1000.0,0.6111490891665544,0.747,0.147,0.1358509108334455,0.728,0.128,0.1168509108334455,0.019,0.015,0.023,0.86,0.652,0.975
truncnorm,9.0,0.6,0.07,1000.0,0.6111490891665544,0.795,0.195,0.1838509108334456,0.754,0.154,0.1428509108334456,0.041,0.013,0.024,0.777,0.542,0.948
truncnorm,11.0,0.6,0.07,1000.0,0.6111490891665544,0.818,0.2179999999999999,0.2068509108334455,0.794,0.194,0.1828509108334456,0.024,0.02,0.011,0.884,1.818,0.971
truncnorm,21.0,0.6,0.07,1000.0,0.6111490891665544,0.869,0.269,0.2578509108334456,0.84,0.24,0.2288509108334455,0.029,0.023,0.026,0.888,0.885,0.967
truncnorm,31.0,0.6,0.07,1000.0,0.6111490891665544,0.931,0.331,0.3198509108334456,0.887,0.287,0.2758509108334456,0.044,0.024,0.031,0.862,0.774,0.953
truncnorm,41.0,0.6,0.07,1000.0,0.6111490891665544,0.952,0.352,0.3408509108334455,0.933,0.3330000000000001,0.3218509108334456,0.019,0.023,0.01,0.944,2.3,0.98
truncnorm,51.0,0.6,0.07,1000.0,0.6111490891665544,0.966,0.366,0.3548509108334455,0.951,0.351,0.3398509108334455,0.015,0.009,0.007,0.958,1.286,0.984
truncnorm,3.0,0.6,0.08,1000.0,0.6166366939012383,0.683,0.083,0.0663633060987617,0.69,0.0899999999999999,0.0733633060987616,-0.007,0.0,0.0,1.105,,1.01
truncnorm,5.0,0.6,0.08,1000.0,0.6166366939012383,0.734,0.134,0.1173633060987616,0.707,0.1069999999999999,0.0903633060987616,0.027,0.009,0.025,0.77,0.36,0.963
truncnorm,7.0,0.6,0.08,1000.0,0.6166366939012383,0.779,0.179,0.1623633060987617,0.762,0.162,0.1453633060987617,0.017,0.028,0.023,0.895,1.217,0.978
truncnorm,9.0,0.6,0.08,1000.0,0.6166366939012383,0.8,0.2,0.1833633060987617,0.774,0.174,0.1573633060987617,0.026,0.006,0.011,0.858,0.545,0.968
truncnorm,11.0,0.6,0.08,1000.0,0.6166366939012383,0.822,0.2219999999999999,0.2053633060987616,0.781,0.181,0.1643633060987617,0.041,0.004,0.011,0.8,0.364,0.95
truncnorm,21.0,0.6,0.08,1000.0,0.6166366939012383,0.898,0.298,0.2813633060987617,0.86,0.26,0.2433633060987616,0.038,0.039,0.038,0.865,1.026,0.958
truncnorm,31.0,0.6,0.08,1000.0,0.6166366939012383,0.937,0.3370000000000001,0.3203633060987617,0.903,0.303,0.2863633060987617,0.034,0.022,0.02,0.894,1.1,0.964
truncnorm,41.0,0.6,0.08,1000.0,0.6166366939012383,0.961,0.361,0.3443633060987616,0.939,0.3389999999999999,0.3223633060987616,0.022,0.018,0.012,0.936,1.5,0.977
truncnorm,51.0,0.6,0.08,1000.0,0.6166366939012383,0.971,0.371,0.3543633060987616,0.946,0.346,0.3293633060987616,0.025,0.004,0.005,0.929,0.8,0.974
truncnorm,3.0,0.6,0.09,1000.0,0.6226820477205374,0.726,0.126,0.1033179522794626,0.701,0.1009999999999999,0.0783179522794625,0.025,0.0,0.0,0.758,,0.966
truncnorm,5.0,0.6,0.09,1000.0,0.6226820477205374,0.757,0.157,0.1343179522794626,0.721,0.121,0.0983179522794626,0.036,0.01,0.016,0.732,0.625,0.952
truncnorm,7.0,0.6,0.09,1000.0,0.6226820477205374,0.782,0.182,0.1593179522794626,0.734,0.134,0.1113179522794626,0.048,0.007,0.013,0.699,0.538,0.939
truncnorm,9.0,0.6,0.09,1000.0,0.6226820477205374,0.805,0.205,0.1823179522794626,0.773,0.173,0.1503179522794626,0.032,0.02,0.012,0.824,1.667,0.96
truncnorm,11.0,0.6,0.09,1000.0,0.6226820477205374,0.816,0.2159999999999999,0.1933179522794625,0.768,0.168,0.1453179522794626,0.048,-0.003,0.005,0.752,-0.6,0.941
truncnorm,21.0,0.6,0.09,1000.0,0.6226820477205374,0.926,0.326,0.3033179522794627,0.877,0.277,0.2543179522794626,0.049,0.054,0.055,0.838,0.982,0.947
truncnorm,31.0,0.6,0.09,1000.0,0.6226820477205374,0.954,0.354,0.3313179522794626,0.936,0.3360000000000001,0.3133179522794627,0.018,0.03,0.014,0.946,2.143,0.981
truncnorm,41.0,0.6,0.09,1000.0,0.6226820477205374,0.982,0.382,0.3593179522794626,0.96,0.36,0.3373179522794626,0.022,0.012,0.014,0.939,0.857,0.978
truncnorm,51.0,0.6,0.09,1000.0,0.6226820477205374,0.984,0.384,0.3613179522794626,0.959,0.359,0.3363179522794626,0.025,-0.001,0.001,0.931,-1.0,0.975
truncnorm,3.0,0.6,0.12,1000.0,0.6426152912431068,0.733,0.133,0.0903847087568932,0.716,0.1159999999999999,0.0733847087568931,0.017,0.0,0.0,0.812,,0.977
truncnorm,5.0,0.6,0.12,1000.0,0.6426152912431068,0.783,0.183,0.1403847087568932,0.753,0.153,0.1103847087568932,0.03,0.019,0.025,0.786,0.76,0.962
truncnorm,7.0,0.6,0.12,1000.0,0.6426152912431068,0.823,0.2229999999999999,0.1803847087568931,0.774,0.174,0.1313847087568932,0.049,0.011,0.02,0.728,0.55,0.94
truncnorm,9.0,0.6,0.12,1000.0,0.6426152912431068,0.872,0.272,0.2293847087568932,0.804,0.204,0.1613847087568932,0.068,0.015,0.025,0.704,0.6,0.922
truncnorm,11.0,0.6,0.12,1000.0,0.6426152912431068,0.878,0.278,0.2353847087568932,0.832,0.2319999999999999,0.1893847087568931,0.046,0.014,0.003,0.805,4.667,0.948
truncnorm,21.0,0.6,0.12,1000.0,0.6426152912431068,0.961,0.361,0.3183847087568932,0.921,0.321,0.2783847087568932,0.04,0.045,0.041,0.874,1.098,0.958
truncnorm,31.0,0.6,0.12,1000.0,0.6426152912431068,0.976,0.376,0.3333847087568932,0.957,0.357,0.3143847087568931,0.019,0.018,0.008,0.943,2.25,0.981
truncnorm,41.0,0.6,0.12,1000.0,0.6426152912431068,0.991,0.391,0.3483847087568932,0.972,0.372,0.3293847087568932,0.019,0.008,0.008,0.945,1.0,0.981
truncnorm,51.0,0.6,0.12,1000.0,0.6426152912431068,0.991,0.391,0.3483847087568932,0.972,0.372,0.3293847087568932,0.019,0.0,0.0,0.945,,0.981
