voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
11,0.6,0.01,0.6,0.01,0.748,0.002,0.148,0.749,0.001
21,0.6,0.01,0.6,0.01,0.84,0.046,0.24,0.84,0.0
31,0.6,0.01,0.6,0.01,0.883,0.022,0.283,0.886,0.003
41,0.6,0.01,0.6,0.01,0.9,0.009,0.3,0.903,0.003
51,0.6,0.01,0.6,0.01,0.931,0.016,0.331,0.932,0.001
3,0.6,0.02,0.6000000381320322,0.0199999056229612,0.663,0.0,0.063,0.663,0.0
5,0.6,0.02,0.6000000381320322,0.0199999056229612,0.681,0.009,0.081,0.679,-0.002
7,0.6,0.02,0.6000000381320322,0.0199999056229612,0.689,0.004,0.089,0.688,-0.001
9,0.6,0.02,0.6000000381320322,0.0199999056229612,0.718,0.015,0.118,0.718,0.0
11,0.6,0.02,0.6000000381320322,0.0199999056229612,0.748,0.015,0.148,0.749,0.001
21,0.6,0.02,0.6000000381320322,0.0199999056229612,0.823,0.037,0.223,0.823,0.0
31,0.6,0.02,0.6000000381320322,0.0199999056229612,0.873,0.025,0.273,0.88,0.007
41,0.6,0.02,0.6000000381320322,0.0199999056229612,0.888,0.008,0.288,0.886,-0.002
51,0.6,0.02,0.6000000381320322,0.0199999056229612,0.933,0.023,0.333,0.939,0.006
3,0.6,0.04,0.6007511217813778,0.0390522055678438,0.638,0.0,0.037,0.644,0.006
5,0.6,0.04,0.6007511217813778,0.0390522055678438,0.703,0.032,0.102,0.707,0.004
7,0.6,0.04,0.6007511217813778,0.0390522055678438,0.711,0.004,0.11,0.71,-0.001
9,0.6,0.04,0.6007511217813778,0.0390522055678438,0.718,0.004,0.117,0.737,0.019
11,0.6,0.04,0.6007511217813778,0.0390522055678438,0.764,0.023,0.163,0.775,0.011
21,0.6,0.04,0.6007511217813778,0.0390522055678438,0.846,0.041,0.245,0.853,0.007
31,0.6,0.04,0.6007511217813778,0.0390522055678438,0.871,0.013,0.27,0.899,0.028
41,0.6,0.04,0.6007511217813778,0.0390522055678438,0.922,0.026,0.321,0.93,0.008
51,0.6,0.04,0.6007511217813778,0.0390522055678438,0.921,-0.001,0.32,0.934,0.013
3,0.6,0.08,0.6166366939012383,0.0669037894612007,0.649,0.0,0.032,0.673,0.024
5,0.6,0.08,0.6166366939012383,0.0669037894612007,0.722,0.036,0.105,0.736,0.014
7,0.6,0.08,0.6166366939012383,0.0669037894612007,0.721,-0.001,0.104,0.766,0.045
9,0.6,0.08,0.6166366939012383,0.0669037894612007,0.769,0.024,0.152,0.785,0.016
11,0.6,0.08,0.6166366939012383,0.0669037894612007,0.783,0.007,0.166,0.827,0.044
21,0.6,0.08,0.6166366939012383,0.0669037894612007,0.856,0.036,0.239,0.894,0.038
31,0.6,0.08,0.6166366939012383,0.0669037894612007,0.903,0.024,0.286,0.935,0.032
41,0.6,0.08,0.6166366939012383,0.0669037894612007,0.933,0.015,0.316,0.956,0.023
51,0.6,0.08,0.6166366939012383,0.0669037894612007,0.948,0.007,0.331,0.967,0.019
3,0.6,0.16,0.6687140065796335,0.1100940672007376,0.726,0.0,0.057,0.777,0.051
5,0.6,0.16,0.6687140065796335,0.1100940672007376,0.82,0.047,0.151,0.844,0.024
7,0.6,0.16,0.6687140065796335,0.1100940672007376,0.824,0.002,0.155,0.859,0.035
9,0.6,0.16,0.6687140065796335,0.1100940672007376,0.864,0.02,0.195,0.919,0.055
11,0.6,0.16,0.6687140065796335,0.1100940672007376,0.876,0.006,0.207,0.925,0.049
21,0.6,0.16,0.6687140065796335,0.1100940672007376,0.945,0.034,0.276,0.974,0.029
31,0.6,0.16,0.6687140065796335,0.1100940672007376,0.978,0.017,0.309,0.991,0.013
41,0.6,0.16,0.6687140065796335,0.1100940672007376,0.988,0.005,0.319,0.999,0.011
51,0.6,0.16,0.6687140065796335,0.1100940672007376,0.99,0.001,0.321,0.999,0.009
3,0.6,0.32,0.7223067658239443,0.1364626016234437,0.822,0.0,0.1,0.859,0.037
5,0.6,0.32,0.7223067658239443,0.1364626016234437,0.853,0.016,0.131,0.906,0.053
7,0.6,0.32,0.7223067658239443,0.1364626016234437,0.906,0.027,0.184,0.933,0.027
9,0.6,0.32,0.7223067658239443,0.1364626016234437,0.925,0.01,0.203,0.966,0.041
11,0.6,0.32,0.7223067658239443,0.1364626016234437,0.947,0.011,0.225,0.983,0.036
21,0.6,0.32,0.7223067658239443,0.1364626016234437,0.988,0.021,0.266,0.996,0.008
31,0.6,0.32,0.7223067658239443,0.1364626016234437,0.996,0.004,0.274,1.0,0.004
41,0.6,0.32,0.7223067658239443,0.1364626016234437,0.997,0.001,0.275,1.0,0.003
51,0.6,0.32,0.7223067658239443,0.1364626016234437,1.0,0.002,0.278,1.0,0.0
3,0.6,0.64,0.7425871143627151,0.1421989152574676,0.827,0.0,0.084,0.865,0.038
5,0.6,0.64,0.7425871143627151,0.1421989152574676,0.882,0.028,0.139,0.924,0.042
7,0.6,0.64,0.7425871143627151,0.1421989152574676,0.904,0.011,0.161,0.953,0.049
9,0.6,0.64,0.7425871143627151,0.1421989152574676,0.947,0.021,0.204,0.983,0.036
11,0.6,0.64,0.7425871143627151,0.1421989152574676,0.961,0.007,0.218,0.988,0.027
21,0.6,0.64,0.7425871143627151,0.1421989152574676,0.994,0.017,0.251,1.0,0.006
31,0.6,0.64,0.7425871143627151,0.1421989152574676,0.998,0.002,0.255,1.0,0.002
41,0.6,0.64,0.7425871143627151,0.1421989152574676,1.0,0.001,0.257,1.0,0.0
51,0.6,0.64,0.7425871143627151,0.1421989152574676,1.0,0.0,0.257,1.0,0.0
3,0.6,1.28,0.7481174739879901,0.1433903509268798,0.825,0.0,0.077,0.88,0.055
5,0.6,1.28,0.7481174739879901,0.1433903509268798,0.879,0.027,0.131,0.927,0.048
7,0.6,1.28,0.7481174739879901,0.1433903509268798,0.936,0.029,0.188,0.97,0.034
9,0.6,1.28,0.7481174739879901,0.1433903509268798,0.944,0.004,0.196,0.972,0.028
11,0.6,1.28,0.7481174739879901,0.1433903509268798,0.957,0.007,0.209,0.991,0.034
21,0.6,1.28,0.7481174739879901,0.1433903509268798,0.994,0.019,0.246,0.998,0.004
31,0.6,1.28,0.7481174739879901,0.1433903509268798,0.998,0.002,0.25,1.0,0.002
41,0.6,1.28,0.7481174739879901,0.1433903509268798,1.0,0.001,0.252,1.0,0.0
51,0.6,1.28,0.7481174739879901,0.1433903509268798,1.0,0.0,0.252,1.0,0.0
3,0.6,2.56,0.7495275673478567,0.1436690932209757,0.831,0.0,0.081,0.876,0.045
5,0.6,2.56,0.7495275673478567,0.1436690932209757,0.9,0.035,0.15,0.945,0.045
7,0.6,2.56,0.7495275673478567,0.1436690932209757,0.936,0.018,0.186,0.972,0.036
9,0.6,2.56,0.7495275673478567,0.1436690932209757,0.949,0.006,0.199,0.984,0.035
11,0.6,2.56,0.7495275673478567,0.1436690932209757,0.959,0.005,0.209,0.986,0.027
21,0.6,2.56,0.7495275673478567,0.1436690932209757,0.994,0.018,0.244,1.0,0.006
31,0.6,2.56,0.7495275673478567,0.1436690932209757,0.999,0.003,0.249,1.0,0.001
41,0.6,2.56,0.7495275673478567,0.1436690932209757,1.0,0.001,0.25,1.0,0.0
51,0.6,2.56,0.7495275673478567,0.1436690932209757,1.0,0.0,0.25,1.0,0.0
3,0.65,0.01,0.65,0.01,0.711,0.0,0.061,0.711,0.0
5,0.65,0.01,0.65,0.01,0.758,0.024,0.108,0.758,0.0
7,0.65,0.01,0.65,0.01,0.785,0.014,0.135,0.785,0.0
9,0.65,0.01,0.65,0.01,0.84,0.027,0.19,0.84,0.0
11,0.65,0.01,0.65,0.01,0.859,0.01,0.209,0.859,0.0
