voters,mean,std,ratio_difference_to_mean,ratio_correct
31,0.6,0.02,0.944,0.982
41,0.6,0.02,0.968,0.989
51,0.6,0.02,0.991,0.997
3,0.6,0.04,0.984,0.998
5,0.6,0.04,0.859,0.981
7,0.6,0.04,0.897,0.983
9,0.6,0.04,0.928,0.985
11,0.6,0.04,0.849,0.975
21,0.6,0.04,0.891,0.969
31,0.6,0.04,0.955,0.985
41,0.6,0.04,0.953,0.984
51,0.6,0.04,0.994,0.998
3,0.6,0.08,0.45,0.935
5,0.6,0.08,0.68,0.944
7,0.6,0.08,0.713,0.937
9,0.6,0.08,0.731,0.934
11,0.6,0.08,0.833,0.954
21,0.6,0.08,0.76,0.922
31,0.6,0.08,0.844,0.945
41,0.6,0.08,0.887,0.959
51,0.6,0.08,0.903,0.964
3,0.6,0.16,0.57,0.914
5,0.6,0.16,0.391,0.833
7,0.6,0.16,0.403,0.817
9,0.6,0.16,0.473,0.824
11,0.6,0.16,0.487,0.826
21,0.6,0.16,0.575,0.838
31,0.6,0.16,0.609,0.845
41,0.6,0.16,0.743,0.897
51,0.6,0.16,0.825,0.93
3,0.6,0.32,0.05,0.693
5,0.6,0.32,0.114,0.667
7,0.6,0.32,0.258,0.699
9,0.6,0.32,0.256,0.69
11,0.6,0.32,0.217,0.672
21,0.6,0.32,0.328,0.705
31,0.6,0.32,0.436,0.751
41,0.6,0.32,0.494,0.776
51,0.6,0.32,0.573,0.811
3,0.6,0.64,-0.035,0.594
5,0.6,0.64,0.06,0.586
7,0.6,0.64,0.118,0.59
9,0.6,0.64,0.072,0.562
11,0.6,0.64,0.06,0.553
21,0.6,0.64,0.138,0.586
31,0.6,0.64,0.231,0.63
41,0.6,0.64,0.138,0.585
51,0.6,0.64,0.167,0.599
3,0.6,1.28,0.005,0.579
5,0.6,1.28,-0.019,0.538
7,0.6,1.28,0.035,0.538
9,0.6,1.28,0.004,0.519
11,0.6,1.28,0.05,0.538
21,0.6,1.28,-0.02,0.495
31,0.6,1.28,0.016,0.513
41,0.6,1.28,-0.02,0.495
51,0.6,1.28,0.036,0.523
3,0.6,2.56,0.078,0.601
5,0.6,2.56,-0.008,0.535
7,0.6,2.56,0.03,0.533
9,0.6,2.56,-0.009,0.506
11,0.6,2.56,0.071,0.543
21,0.6,2.56,-0.013,0.497
31,0.6,2.56,0.028,0.515
41,0.6,2.56,0.007,0.505
51,0.6,2.56,-0.021,0.491
3,0.65,0.01,1.0,1.0
5,0.65,0.01,1.0,1.0
7,0.65,0.01,1.0,1.0
9,0.65,0.01,1.0,1.0
11,0.65,0.01,1.0,1.0
21,0.65,0.01,1.0,1.0
31,0.65,0.01,1.0,1.0
41,0.65,0.01,0.997,0.999
51,0.65,0.01,1.0,1.0
3,0.65,0.02,1.0,1.0
5,0.65,0.02,1.009,1.001
7,0.65,0.02,1.0,1.0
9,0.65,0.02,1.006,1.001
11,0.65,0.02,0.99,0.998
21,0.65,0.02,0.993,0.998
31,0.65,0.02,0.991,0.997
41,0.65,0.02,1.013,1.004
51,0.65,0.02,0.994,0.998
3,0.65,0.04,0.973,0.997
5,0.65,0.04,1.033,1.005
7,0.65,0.04,1.014,1.003
9,0.65,0.04,1.023,1.005
11,0.65,0.04,0.98,0.995
21,0.65,0.04,1.007,1.002
31,0.65,0.04,0.987,0.996
41,0.65,0.04,1.003,1.001
51,0.65,0.04,1.003,1.001
3,0.65,0.08,0.864,0.98
5,0.65,0.08,0.977,0.996
7,0.65,0.08,0.814,0.96
9,0.65,0.08,0.863,0.969
11,0.65,0.08,0.948,0.987
21,0.65,0.08,0.914,0.973
31,0.65,0.08,0.951,0.984
41,0.65,0.08,0.971,0.99
51,0.65,0.08,0.997,0.999
3,0.65,0.16,0.612,0.926
5,0.65,0.16,0.477,0.868
7,0.65,0.16,0.572,0.88
9,0.65,0.16,0.659,0.899
11,0.65,0.16,0.662,0.894
21,0.65,0.16,0.772,0.92
31,0.65,0.16,0.903,0.966
41,0.65,0.16,0.913,0.969
51,0.65,0.16,0.963,0.987
3,0.65,0.32,0.16,0.738
5,0.65,0.32,0.275,0.749
7,0.65,0.32,0.256,0.716
9,0.65,0.32,0.29,0.728
11,0.65,0.32,0.331,0.733
21,0.65,0.32,0.5,0.794
31,0.65,0.32,0.504,0.795
41,0.65,0.32,0.662,0.86
51,0.65,0.32,0.749,0.896
3,0.65,0.64,-0.034,0.609
5,0.65,0.64,0.11,0.616
7,0.65,0.64,0.082,0.59
9,0.65,0.64,0.074,0.576
11,0.65,0.64,0.19,0.625
21,0.65,0.64,0.111,0.581
31,0.65,0.64,0.246,0.644
41,0.65,0.64,0.25,0.646
51,0.65,0.64,0.244,0.643
3,0.65,1.28,0.046,0.591
5,0.65,1.28,0.064,0.57
7,0.65,1.28,0.041,0.55
9,0.65,1.28,0.035,0.534
11,0.65,1.28,0.045,0.535
21,0.65,1.28,-0.003,0.507
31,0.65,1.28,0.084,0.549
41,0.65,1.28,0.092,0.553
51,0.65,1.28,0.172,0.592
3,0.65,2.56,-0.03,0.568
5,0.65,2.56,0.027,0.559
7,0.65,2.56,-0.038,0.499
9,0.65,2.56,0.013,0.519
11,0.65,2.56,-0.018,0.499
21,0.65,2.56,-0.004,0.501
31,0.65,2.56,0.026,0.516
41,0.65,2.56,0.03,0.517
51,0.65,2.56,-0.004,0.5
3,0.7,0.01,1.0,1.0
5,0.7,0.01,1.0,1.0
7,0.7,0.01,1.0,1.0
9,0.7,0.01,1.0,1.0
11,0.7,0.01,1.0,1.0
21,0.7,0.01,1.0,1.0
31,0.7,0.01,1.0,1.0
41,0.7,0.01,1.0,1.0
51,0.7,0.01,1.0,1.0
3,0.7,0.02,1.0,1.0
5,0.7,0.02,1.0,1.0
7,0.7,0.02,1.0,1.0
9,0.7,0.02,0.995,0.999
11,0.7,0.02,1.0,1.0
21,0.7,0.02,0.996,0.999
31,0.7,0.02,1.0,1.0
41,0.7,0.02,1.0,1.0
51,0.7,0.02,1.0,1.0
3,0.7,0.04,0.97,0.996
5,0.7,0.04,1.0,1.0
7,0.7,0.04,0.989,0.998
9,0.7,0.04,0.995,0.999
11,0.7,0.04,0.996,0.999
21,0.7,0.04,1.004,1.001
31,0.7,0.04,1.0,1.0
41,0.7,0.04,0.99,0.997
51,0.7,0.04,0.997,0.999
3,0.7,0.08,0.882,0.988
5,0.7,0.08,1.008,1.001
7,0.7,0.08,0.892,0.976
9,0.7,0.08,0.915,0.979
11,0.7,0.08,0.949,0.987
21,0.7,0.08,0.937,0.982
31,0.7,0.08,1.0,1.0
41,0.7,0.08,0.997,0.999
51,0.7,0.08,1.0,1.0
3,0.7,0.16,0.621,0.935
5,0.7,0.16,0.742,0.943
7,0.7,0.16,0.726,0.93
9,0.7,0.16,0.746,0.931
11,0.7,0.16,0.787,0.94
21,0.7,0.16,0.931,0.979
31,0.7,0.16,0.942,0.982
41,0.7,0.16,0.984,0.995
51,0.7,0.16,1.0,1.0
3,0.7,0.32,0.238,0.788
5,0.7,0.32,0.228,0.747
7,0.7,0.32,0.348,0.775
9,0.7,0.32,0.455,0.801
11,0.7,0.32,0.475,0.801
21,0.7,0.32,0.597,0.845
31,0.7,0.32,0.75,0.903
41,0.7,0.32,0.819,0.93
51,0.7,0.32,0.871,0.95
3,0.7,0.64,0.041,0.628
5,0.7,0.64,0.083,0.62
7,0.7,0.64,0.1,0.608
9,0.7,0.64,0.186,0.638
11,0.7,0.64,0.08,0.581
21,0.7,0.64,0.243,0.65
31,0.7,0.64,0.276,0.665
41,0.7,0.64,0.304,0.678
51,0.7,0.64,0.332,0.691
3,0.7,1.28,0.014,0.587
5,0.7,1.28,0.007,0.552
7,0.7,1.28,0.039,0.544
9,0.7,1.28,0.036,0.535
11,0.7,1.28,0.025,0.53
21,0.7,1.28,0.041,0.531
31,0.7,1.28,0.063,0.541
41,0.7,1.28,0.139,0.578
51,0.7,1.28,0.082,0.55
3,0.7,2.56,-0.006,0.559
5,0.7,2.56,-0.003,0.532
7,0.7,2.56,-0.001,0.518
9,0.7,2.56,0.026,0.526
11,0.7,2.56,-0.046,0.486
21,0.7,2.56,-0.017,0.494
31,0.7,2.56,0.013,0.509
41,0.7,2.56,-0.009,0.498
51,0.7,2.56,0.059,0.532
3,0.75,0.01,1.0,1.0
5,0.75,0.01,1.0,1.0
7,0.75,0.01,1.0,1.0
9,0.75,0.01,1.0,1.0
11,0.75,0.01,1.0,1.0
21,0.75,0.01,1.0,1.0
31,0.75,0.01,1.0,1.0
41,0.75,0.01,1.0,1.0
51,0.75,0.01,1.0,1.0
3,0.75,0.02,1.0,1.0
5,0.75,0.02,1.0,1.0
7,0.75,0.02,1.0,1.0
9,0.75,0.02,1.0,1.0
11,0.75,0.02,1.0,1.0
21,0.75,0.02,1.0,1.0
31,0.75,0.02,1.0,1.0
41,0.75,0.02,1.0,1.0
51,0.75,0.02,1.0,1.0
3,0.75,0.04,1.02,1.002
5,0.75,0.04,0.994,0.999
7,0.75,0.04,0.994,0.999
9,0.75,0.04,0.991,0.998
11,0.75,0.04,1.0,1.0
21,0.75,0.04,1.0,1.0
31,0.75,0.04,1.008,1.002
41,0.75,0.04,1.0,1.0
51,0.75,0.04,1.0,1.0
3,0.75,0.08,0.903,0.988
5,0.75,0.08,0.963,0.993
7,0.75,0.08,0.953,0.99
9,0.75,0.08,0.953,0.99
11,0.75,0.08,0.919,0.982
21,0.75,0.08,0.996,0.999
31,0.75,0.08,1.0,1.0
41,0.75,0.08,0.996,0.999
51,0.75,0.08,1.0,1.0
3,0.75,0.16,0.621,0.943
5,0.75,0.16,0.749,0.952
7,0.75,0.16,0.789,0.951
9,0.75,0.16,0.839,0.959
11,0.75,0.16,0.85,0.962
21,0.75,0.16,0.952,0.987
31,0.75,0.16,0.985,0.996
41,0.75,0.16,0.993,0.998
51,0.75,0.16,1.0,1.0
3,0.75,0.32,0.236,0.8
5,0.75,0.32,0.4,0.82
7,0.75,0.32,0.442,0.815
9,0.75,0.32,0.579,0.858
11,0.75,0.32,0.571,0.851
21,0.75,0.32,0.729,0.902
31,0.75,0.32,0.834,0.94
41,0.75,0.32,0.92,0.971
51,0.75,0.32,0.956,0.984
3,0.75,0.64,0.052,0.649
5,0.75,0.64,0.129,0.631
7,0.75,0.64,0.145,0.633
9,0.75,0.64,0.214,0.654
11,0.75,0.64,0.15,0.625
21,0.75,0.64,0.293,0.68
31,0.75,0.64,0.33,0.697
41,0.75,0.64,0.462,0.756
51,0.75,0.64,0.429,0.741
3,0.75,1.28,0.058,0.603
5,0.75,1.28,0.027,0.558
7,0.75,1.28,0.033,0.553
9,0.75,1.28,0.027,0.532
11,0.75,1.28,0.044,0.541
21,0.75,1.28,0.038,0.532
31,0.75,1.28,0.091,0.557
41,0.75,1.28,0.077,0.55
51,0.75,1.28,0.085,0.554
3,0.75,2.56,-0.016,0.567
5,0.75,2.56,0.004,0.532
7,0.75,2.56,-0.022,0.513
9,0.75,2.56,-0.002,0.513
11,0.75,2.56,0.024,0.521
21,0.75,2.56,0.028,0.518
31,0.75,2.56,-0.004,0.501
41,0.75,2.56,0.032,0.519
51,0.75,2.56,0.074,0.54
3,0.8,0.01,1.0,1.0
5,0.8,0.01,1.0,1.0
7,0.8,0.01,1.0,1.0
9,0.8,0.01,1.0,1.0
11,0.8,0.01,1.0,1.0
21,0.8,0.01,1.0,1.0
31,0.8,0.01,1.0,1.0
41,0.8,0.01,1.0,1.0
51,0.8,0.01,1.0,1.0
3,0.8,0.02,1.0,1.0
5,0.8,0.02,1.0,1.0
7,0.8,0.02,1.0,1.0
9,0.8,0.02,1.0,1.0
11,0.8,0.02,1.0,1.0
21,0.8,0.02,1.0,1.0
31,0.8,0.02,1.0,1.0
41,0.8,0.02,1.0,1.0
51,0.8,0.02,1.0,1.0
3,0.8,0.04,1.0,1.0
5,0.8,0.04,0.992,0.999
7,0.8,0.04,0.988,0.998
9,0.8,0.04,1.005,1.001
11,0.8,0.04,1.005,1.001
21,0.8,0.04,1.0,1.0
31,0.8,0.04,1.0,1.0
41,0.8,0.04,1.0,1.0
51,0.8,0.04,1.0,1.0
3,0.8,0.08,1.019,1.002
5,0.8,0.08,0.964,0.995
7,0.8,0.08,0.989,0.998
9,0.8,0.08,0.946,0.99
11,0.8,0.08,0.974,0.995
21,0.8,0.08,1.0,1.0
31,0.8,0.08,1.0,1.0
41,0.8,0.08,1.0,1.0
51,0.8,0.08,1.0,1.0
3,0.8,0.16,0.74,0.962
5,0.8,0.16,0.828,0.969
7,0.8,0.16,0.863,0.971
9,0.8,0.16,0.938,0.987
11,0.8,0.16,0.905,0.979
21,0.8,0.16,0.983,0.996
31,0.8,0.16,1.0,1.0
41,0.8,0.16,1.0,1.0
51,0.8,0.16,1.0,1.0
3,0.8,0.32,0.261,0.822
5,0.8,0.32,0.425,0.835
7,0.8,0.32,0.497,0.846
9,0.8,0.32,0.58,0.866
11,0.8,0.32,0.646,0.883
21,0.8,0.32,0.808,0.936
31,0.8,0.32,0.911,0.97
41,0.8,0.32,0.958,0.986
51,0.8,0.32,0.976,0.992
3,0.8,0.64,0.168,0.698
5,0.8,0.64,0.124,0.634
7,0.8,0.64,0.148,0.642
9,0.8,0.64,0.209,0.66
11,0.8,0.64,0.194,0.649
21,0.8,0.64,0.304,0.691
31,0.8,0.64,0.41,0.738
41,0.8,0.64,0.523,0.788
51,0.8,0.64,0.525,0.789
3,0.8,1.28,0.03,0.596
5,0.8,1.28,0.055,0.575
7,0.8,1.28,0.033,0.543
9,0.8,1.28,0.024,0.537
11,0.8,1.28,0.12,0.581
21,0.8,1.28,0.058,0.544
31,0.8,1.28,0.13,0.578
41,0.8,1.28,0.12,0.573
51,0.8,1.28,0.157,0.591
3,0.8,2.56,0.032,0.58
5,0.8,2.56,0.019,0.542
7,0.8,2.56,0.043,0.54
9,0.8,2.56,0.057,0.542
11,0.8,2.56,0.081,0.55
21,0.8,2.56,0.002,0.506
31,0.8,2.56,0.049,0.528
41,0.8,2.56,0.057,0.532
51,0.8,2.56,0.039,0.523
3,0.85,0.01,1.0,1.0
5,0.85,0.01,1.0,1.0
7,0.85,0.01,1.0,1.0
9,0.85,0.01,1.0,1.0
11,0.85,0.01,1.0,1.0
21,0.85,0.01,1.0,1.0
31,0.85,0.01,1.0,1.0
41,0.85,0.01,1.0,1.0
51,0.85,0.01,1.0,1.0
3,0.85,0.02,1.0,1.0
5,0.85,0.02,1.0,1.0
7,0.85,0.02,1.0,1.0
9,0.85,0.02,1.0,1.0
11,0.85,0.02,1.0,1.0
21,0.85,0.02,1.0,1.0
31,0.85,0.02,1.0,1.0
41,0.85,0.02,1.0,1.0
51,0.85,0.02,1.0,1.0
3,0.85,0.04,0.987,0.999
5,0.85,0.04,1.008,1.001
7,0.85,0.04,1.007,1.001
9,0.85,0.04,1.0,1.0
11,0.85,0.04,1.0,1.0
21,0.85,0.04,1.0,1.0
31,0.85,0.04,1.0,1.0
41,0.85,0.04,1.0,1.0
51,0.85,0.04,1.0,1.0
3,0.85,0.08,0.908,0.991
5,0.85,0.08,0.951,0.994
7,0.85,0.08,1.007,1.001
9,0.85,0.08,1.007,1.001
11,0.85,0.08,1.013,1.002
21,0.85,0.08,1.0,1.0
31,0.85,0.08,1.0,1.0
41,0.85,0.08,1.0,1.0
51,0.85,0.08,1.0,1.0
3,0.85,0.16,0.823,0.978
5,0.85,0.16,0.897,0.982
7,0.85,0.16,0.87,0.976
9,0.85,0.16,0.958,0.992
11,0.85,0.16,0.965,0.993
21,0.85,0.16,1.005,1.001
31,0.85,0.16,1.0,1.0
41,0.85,0.16,1.0,1.0
51,0.85,0.16,1.0,1.0
3,0.85,0.32,0.387,0.858
5,0.85,0.32,0.457,0.864
7,0.85,0.32,0.606,0.892
9,0.85,0.32,0.633,0.89
11,0.85,0.32,0.698,0.906
21,0.85,0.32,0.927,0.977
31,0.85,0.32,0.962,0.988
41,0.85,0.32,0.978,0.993
51,0.85,0.32,0.99,0.997
3,0.85,0.64,0.09,0.674
5,0.85,0.64,0.168,0.667
7,0.85,0.64,0.153,0.659
9,0.85,0.64,0.25,0.681
11,0.85,0.64,0.293,0.698
21,0.85,0.64,0.315,0.702
31,0.85,0.64,0.442,0.757
41,0.85,0.64,0.561,0.809
51,0.85,0.64,0.577,0.816
3,0.85,1.28,-0.014,0.577
5,0.85,1.28,-0.008,0.544
7,0.85,1.28,0.039,0.55
9,0.85,1.28,0.103,0.577
11,0.85,1.28,0.138,0.59
21,0.85,1.28,0.138,0.585
31,0.85,1.28,0.153,0.591
41,0.85,1.28,0.138,0.584
51,0.85,1.28,0.171,0.6
3,0.85,2.56,0.015,0.586
5,0.85,2.56,0.006,0.539
7,0.85,2.56,-0.038,0.506
9,0.85,2.56,-0.045,0.494
11,0.85,2.56,-0.03,0.494
21,0.85,2.56,0.05,0.529
31,0.85,2.56,0.048,0.528
41,0.85,2.56,0.102,0.555
51,0.85,2.56,0.07,0.539
3,0.9,0.01,1.0,1.0
5,0.9,0.01,1.0,1.0
7,0.9,0.01,1.0,1.0
9,0.9,0.01,1.0,1.0
11,0.9,0.01,1.0,1.0
21,0.9,0.01,1.0,1.0
31,0.9,0.01,1.0,1.0
41,0.9,0.01,1.0,1.0
51,0.9,0.01,1.0,1.0
3,0.9,0.02,1.0,1.0
5,0.9,0.02,1.0,1.0
7,0.9,0.02,1.0,1.0
9,0.9,0.02,1.0,1.0
11,0.9,0.02,1.0,1.0
21,0.9,0.02,1.0,1.0
31,0.9,0.02,1.0,1.0
41,0.9,0.02,1.0,1.0
51,0.9,0.02,1.0,1.0
3,0.9,0.04,1.0,1.0
5,0.9,0.04,1.0,1.0
7,0.9,0.04,1.0,1.0
9,0.9,0.04,1.0,1.0
11,0.9,0.04,1.0,1.0
21,0.9,0.04,1.0,1.0
31,0.9,0.04,1.0,1.0
41,0.9,0.04,1.0,1.0
51,0.9,0.04,1.0,1.0
3,0.9,0.08,0.976,0.998
5,0.9,0.08,0.972,0.997
7,0.9,0.08,0.991,0.999
9,0.9,0.08,1.0,1.0
11,0.9,0.08,0.983,0.998
21,0.9,0.08,1.0,1.0
31,0.9,0.08,1.0,1.0
41,0.9,0.08,1.0,1.0
51,0.9,0.08,1.0,1.0
3,0.9,0.16,0.752,0.971
5,0.9,0.16,0.902,0.985
7,0.9,0.16,0.915,0.986
9,0.9,0.16,0.976,0.996
11,0.9,0.16,0.994,0.999
21,0.9,0.16,1.0,1.0
31,0.9,0.16,1.0,1.0
41,0.9,0.16,1.0,1.0
51,0.9,0.16,1.0,1.0
3,0.9,0.32,0.427,0.89
5,0.9,0.32,0.609,0.903
7,0.9,0.32,0.7,0.92
9,0.9,0.32,0.751,0.93
11,0.9,0.32,0.82,0.948
21,0.9,0.32,0.942,0.983
31,0.9,0.32,0.983,0.995
41,0.9,0.32,0.99,0.997
51,0.9,0.32,0.997,0.999
3,0.9,0.64,0.191,0.713
5,0.9,0.64,0.199,0.7
7,0.9,0.64,0.245,0.695
9,0.9,0.64,0.218,0.678
11,0.9,0.64,0.313,0.715
21,0.9,0.64,0.421,0.754
31,0.9,0.64,0.487,0.782
41,0.9,0.64,0.599,0.829
51,0.9,0.64,0.693,0.869
3,0.9,1.28,0.037,0.606
5,0.9,1.28,0.096,0.597
7,0.9,1.28,0.059,0.568
9,0.9,1.28,0.076,0.565
11,0.9,1.28,0.101,0.573
21,0.9,1.28,0.136,0.585
31,0.9,1.28,0.129,0.582
41,0.9,1.28,0.144,0.589
51,0.9,1.28,0.194,0.613
3,0.9,2.56,0.005,0.564
5,0.9,2.56,0.009,0.545
7,0.9,2.56,0.021,0.53
9,0.9,2.56,0.028,0.535
11,0.9,2.56,0.054,0.536
21,0.9,2.56,0.047,0.529
31,0.9,2.56,0.063,0.537
41,0.9,2.56,0.071,0.54
51,0.9,2.56,0.087,0.548
3,0.95,0.01,1.0,1.0
5,0.95,0.01,1.0,1.0
7,0.95,0.01,1.0,1.0
9,0.95,0.01,1.0,1.0
11,0.95,0.01,1.0,1.0
21,0.95,0.01,1.0,1.0
31,0.95,0.01,1.0,1.0
41,0.95,0.01,1.0,1.0
51,0.95,0.01,1.0,1.0
3,0.95,0.02,1.0,1.0
5,0.95,0.02,1.0,1.0
7,0.95,0.02,1.0,1.0
9,0.95,0.02,1.0,1.0
11,0.95,0.02,1.0,1.0
21,0.95,0.02,1.0,1.0
31,0.95,0.02,1.0,1.0
41,0.95,0.02,1.0,1.0
51,0.95,0.02,1.0,1.0
3,0.95,0.04,1.0,1.0
5,0.95,0.04,1.0,1.0
7,0.95,0.04,1.0,1.0
9,0.95,0.04,1.0,1.0
11,0.95,0.04,1.0,1.0
21,0.95,0.04,1.0,1.0
31,0.95,0.04,1.0,1.0
41,0.95,0.04,1.0,1.0
51,0.95,0.04,1.0,1.0
3,0.95,0.08,0.985,0.999
5,0.95,0.08,1.013,1.001
7,0.95,0.08,0.975,0.998
9,0.95,0.08,1.0,1.0
11,0.95,0.08,1.0,1.0
21,0.95,0.08,1.0,1.0
31,0.95,0.08,1.0,1.0
41,0.95,0.08,1.0,1.0
51,0.95,0.08,1.0,1.0
3,0.95,0.16,0.847,0.986
5,0.95,0.16,0.947,0.993
7,0.95,0.16,0.971,0.996
9,0.95,0.16,0.979,0.997
11,0.95,0.16,0.993,0.999
21,0.95,0.16,1.0,1.0
31,0.95,0.16,1.0,1.0
41,0.95,0.16,1.0,1.0
51,0.95,0.16,1.0,1.0
3,0.95,0.32,0.569,0.92
5,0.95,0.32,0.57,0.903
7,0.95,0.32,0.735,0.932
9,0.95,0.32,0.754,0.935
11,0.95,0.32,0.842,0.958
21,0.95,0.32,0.963,0.99
31,0.95,0.32,0.996,0.999
41,0.95,0.32,1.0,1.0
51,0.95,0.32,1.0,1.0
3,0.95,0.64,0.107,0.708
5,0.95,0.64,0.242,0.708
7,0.95,0.64,0.207,0.685
9,0.95,0.64,0.262,0.7
11,0.95,0.64,0.327,0.725
21,0.95,0.64,0.454,0.773
31,0.95,0.64,0.586,0.827
41,0.95,0.64,0.662,0.859
51,0.95,0.64,0.746,0.894
3,0.95,1.28,0.035,0.607
5,0.95,1.28,0.093,0.598
7,0.95,1.28,0.085,0.579
9,0.95,1.28,0.083,0.573
11,0.95,1.28,0.055,0.552
21,0.95,1.28,0.11,0.575
31,0.95,1.28,0.148,0.593
41,0.95,1.28,0.184,0.61
51,0.95,1.28,0.215,0.625
3,0.95,2.56,-0.002,0.567
5,0.95,2.56,0.045,0.563
7,0.95,2.56,0.028,0.543
9,0.95,2.56,0.034,0.531
11,0.95,2.56,0.031,0.524
21,0.95,2.56,0.021,0.517
31,0.95,2.56,0.061,0.536
41,0.95,2.56,0.039,0.525
51,0.95,2.56,0.106,0.558
