voters,mean,std,smr,mino-d,n-t-m-d,mino-t,expert,min-coll,majority_correct,expert_correct
7.0,Medium,Upper,0.01277777777777778,0.9872222222222222,0.9811111111111112,0.006111111111111112,0.004555555555555556,0.5907037037037035,0.9241666666666666,0.8858333333333334
7.0,Upper,Lower,0.516,0.484,0.484,0.0,0.0,0.8891111111111092,0.9982777777777778,0.9723888888888889
7.0,Upper,Medium,0.10655555555555557,0.8934444444444443,0.8933333333333332,0.00011111111111111112,0.00011111111111111112,0.8836296296296271,0.9981111111111112,0.9768333333333332
7.0,Upper,Upper,0.03166666666666667,0.9683333333333333,0.9682222222222223,0.00011111111111111112,0.00011111111111111112,0.8561111111111087,0.995388888888889,0.9734444444444443
9.0,Lower,Lower,0.025777777777777774,0.9742222222222223,0.8665555555555556,0.10766666666666667,0.00022222222222222223,0.14677777777777778,0.643388888888889,0.6017222222222222
9.0,Lower,Medium,0.0,1.0,0.8263333333333334,0.1736666666666667,0.0008888888888888889,0.1779444444444444,0.6916111111111111,0.6663888888888888
9.0,Lower,Upper,0.0,1.0,0.7827777777777778,0.21722222222222223,0.0035555555555555557,0.22097222222222224,0.7551666666666667,0.7427777777777778
9.0,Medium,Lower,0.5702222222222222,0.42977777777777776,0.42977777777777776,0.0,0.0,0.36566666666666664,0.9418333333333333,0.7942222222222222
9.0,Medium,Medium,0.01177777777777778,0.9882222222222222,0.9865555555555555,0.001666666666666667,0.0,0.4284166666666666,0.9446111111111111,0.8581111111111112
9.0,Medium,Upper,0.001,0.999,0.9635555555555556,0.03544444444444445,0.00044444444444444447,0.49277777777777776,0.9461111111111111,0.8973888888888888
9.0,Upper,Lower,0.2875555555555555,0.7124444444444444,0.7124444444444444,0.0,0.0,0.8547500000000001,0.9994999999999999,0.9734444444444443
9.0,Upper,Medium,0.011444444444444445,0.9885555555555556,0.9885555555555556,0.0,0.0,0.8475555555555556,0.9992777777777779,0.9829444444444443
9.0,Upper,Upper,0.002,0.9980000000000001,0.9954444444444446,0.0025555555555555557,0.0,0.8149444444444444,0.9982222222222225,0.9782777777777779
11.0,Lower,Lower,0.005555555555555556,0.9944444444444444,0.6809999999999999,0.3134444444444444,0.00011111111111111112,0.08082222222222266,0.6534444444444446,0.6043888888888889
11.0,Lower,Medium,0.0,1.0,0.46844444444444444,0.5315555555555556,0.00011111111111111112,0.1067555555555562,0.708111111111111,0.6719444444444443
11.0,Lower,Upper,0.0,1.0,0.397,0.6030000000000001,0.0005555555555555556,0.14520000000000036,0.7707222222222222,0.7506111111111111
11.0,Medium,Lower,0.3751111111111112,0.6248888888888888,0.6248888888888888,0.0,0.0,0.28906666666666525,0.9583333333333334,0.7971111111111111
11.0,Medium,Medium,0.0007777777777777778,0.9992222222222222,0.9797777777777777,0.019444444444444445,0.0,0.3480444444444431,0.9564444444444443,0.8612777777777779
11.0,Medium,Upper,0.0,1.0,0.8103333333333333,0.18966666666666665,0.00011111111111111112,0.4124666666666655,0.9605555555555555,0.9051666666666668
11.0,Upper,Lower,0.14844444444444443,0.8515555555555556,0.8514444444444446,0.00011111111111111112,0.0,0.8250222222222205,0.9998333333333334,0.9746666666666667
11.0,Upper,Medium,0.0007777777777777778,0.9992222222222222,0.9972222222222223,0.002,0.0,0.8173777777777755,0.9997222222222223,0.984
11.0,Upper,Upper,0.0,1.0,0.9678888888888889,0.03211111111111112,0.0,0.7737555555555538,0.9992222222222222,0.9835000000000002
