Unnamed: 0.1,Unnamed: 0,voters,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
25.0,93.0,5.0,0.6,0.07,1000.0,0.6111490891665544,0.701,0.1009999999999999,0.0898509108334455,0.698,0.0979999999999999,0.0868509108334455,0.003,0.0369999999999999,0.0159999999999999,0.9702970297029704,2.3125000000000084,0.9957203994293866
26.0,13.0,3.0,0.6,0.08,1000.0,0.6166366939012383,0.683,0.083,0.0663633060987617,0.69,0.0899999999999999,0.0733633060987616,-0.007,0.0,0.0,1.0843373493975892,,1.0102489019033674
27.0,94.0,5.0,0.6,0.08,1000.0,0.6166366939012383,0.734,0.134,0.1173633060987616,0.707,0.1069999999999999,0.0903633060987616,0.027,0.017,0.0509999999999999,0.7985074626865664,0.333333333333334,0.9632152588555858
28.0,14.0,3.0,0.6,0.09,1000.0,0.6226820477205374,0.726,0.126,0.1033179522794626,0.701,0.1009999999999999,0.0783179522794625,0.025,0.0,0.0,0.8015873015873007,,0.965564738292011
29.0,95.0,5.0,0.6,0.09,1000.0,0.6226820477205374,0.757,0.157,0.1343179522794626,0.721,0.121,0.0983179522794626,0.036,0.02,0.031,0.7707006369426751,0.6451612903225806,0.952443857331572
30.0,15.0,3.0,0.6,0.12,1000.0,0.6426152912431068,0.733,0.133,0.0903847087568932,0.716,0.1159999999999999,0.0733847087568931,0.017,0.0,0.0,0.8721804511278187,,0.9768076398362892
31.0,96.0,5.0,0.6,0.12,1000.0,0.6426152912431068,0.783,0.183,0.1403847087568932,0.753,0.153,0.1103847087568932,0.03,0.037,0.05,0.8360655737704918,0.7399999999999999,0.9616858237547892
32.0,16.0,3.0,0.6,0.13,1000.0,0.6494238373590417,0.735,0.135,0.0855761626409582,0.715,0.1149999999999999,0.0655761626409582,0.02,0.0,0.0,0.851851851851851,,0.9727891156462584
33.0,97.0,5.0,0.6,0.13,1000.0,0.6494238373590417,0.792,0.192,0.1425761626409583,0.751,0.151,0.1015761626409582,0.041,0.036,0.057,0.7864583333333333,0.631578947368421,0.9482323232323232
34.0,17.0,3.0,0.6,0.14,1000.0,0.6561081833122446,0.761,0.161,0.1048918166877553,0.748,0.148,0.0918918166877553,0.013,0.0,0.0,0.9192546583850932,,0.9829172141918529
35.0,98.0,5.0,0.6,0.14,1000.0,0.6561081833122446,0.83,0.2299999999999999,0.1738918166877553,0.774,0.174,0.1178918166877553,0.056,0.026,0.0689999999999999,0.7565217391304351,0.3768115942028991,0.9325301204819276
36.0,18.0,3.0,0.65,0.02,1000.0,0.6500000000000071,0.69,0.0399999999999999,0.0399999999999928,0.69,0.0399999999999999,0.0399999999999928,0.0,0.0,0.0,1.0,,1.0
37.0,99.0,5.0,0.65,0.02,1000.0,0.6500000000000071,0.758,0.1079999999999999,0.1079999999999928,0.758,0.1079999999999999,0.1079999999999928,0.0,0.068,0.068,1.0,1.0,1.0
38.0,19.0,3.0,0.65,0.03,1000.0,0.6500000526613009,0.727,0.0769999999999999,0.076999947338699,0.729,0.0789999999999999,0.078999947338699,-0.002,0.0,0.0,1.025974025974026,,1.0027510316368635
39.0,100.0,5.0,0.65,0.03,1000.0,0.6500000526613009,0.749,0.0989999999999999,0.0989999473386991,0.749,0.0989999999999999,0.0989999473386991,0.0,0.02,0.022,1.0,0.9090909090909092,1.0
40.0,20.0,3.0,0.65,0.04,1000.0,0.6500154866964568,0.694,0.0439999999999999,0.0439845133035431,0.698,0.0479999999999999,0.0479845133035431,-0.004,0.0,0.0,1.090909090909091,,1.005763688760807
41.0,101.0,5.0,0.65,0.04,1000.0,0.6500154866964568,0.77,0.12,0.1199845133035432,0.768,0.118,0.1179845133035432,0.002,0.07,0.076,0.9833333333333332,0.9210526315789476,0.9974025974025974
42.0,21.0,3.0,0.65,0.07,1000.0,0.6529473169476452,0.731,0.0809999999999999,0.0780526830523548,0.726,0.0759999999999999,0.0730526830523548,0.005,0.0,0.0,0.9382716049382714,,0.9931600547195624
43.0,102.0,5.0,0.65,0.07,1000.0,0.6529473169476452,0.77,0.12,0.1170526830523548,0.76,0.1099999999999999,0.1070526830523548,0.01,0.034,0.039,0.916666666666666,0.8717948717948718,0.987012987012987
44.0,22.0,3.0,0.65,0.08,1000.0,0.6558123768511287,0.726,0.0759999999999999,0.0701876231488712,0.705,0.0549999999999999,0.0491876231488712,0.021,0.0,0.0,0.7236842105263155,,0.9710743801652892
45.0,103.0,5.0,0.65,0.08,1000.0,0.6558123768511287,0.784,0.134,0.1281876231488713,0.788,0.138,0.1321876231488713,-0.004,0.083,0.058,1.0298507462686568,1.4310344827586208,1.0051020408163265
46.0,23.0,3.0,0.65,0.09,1000.0,0.6595686969520812,0.764,0.1139999999999999,0.1044313030479188,0.728,0.0779999999999999,0.0684313030479187,0.036,0.0,0.0,0.6842105263157893,,0.9528795811518324
47.0,104.0,5.0,0.65,0.09,1000.0,0.6595686969520812,0.809,0.159,0.1494313030479188,0.778,0.128,0.1184313030479188,0.031,0.05,0.045,0.8050314465408805,1.1111111111111112,0.96168108776267
48.0,24.0,3.0,0.65,0.12,1000.0,0.6740733103763064,0.78,0.13,0.1059266896236936,0.757,0.1069999999999999,0.0829266896236936,0.023,0.0,0.0,0.8230769230769223,,0.9705128205128204
49.0,105.0,5.0,0.65,0.12,1000.0,0.6740733103763064,0.807,0.157,0.1329266896236937,0.777,0.127,0.1029266896236936,0.03,0.02,0.027,0.8089171974522293,0.7407407407407408,0.9628252788104088
50.0,25.0,3.0,0.65,0.13,1000.0,0.6792683218890445,0.79,0.14,0.1107316781109555,0.775,0.125,0.0957316781109555,0.015,0.0,0.0,0.8928571428571428,,0.981012658227848
51.0,106.0,5.0,0.65,0.13,1000.0,0.6792683218890445,0.835,0.1849999999999999,0.1557316781109554,0.814,0.1639999999999999,0.1347316781109554,0.021,0.0389999999999999,0.0449999999999999,0.8864864864864864,0.8666666666666664,0.9748502994011976
52.0,26.0,3.0,0.65,0.14,1000.0,0.6843538717077884,0.812,0.162,0.1276461282922116,0.765,0.1149999999999999,0.0806461282922116,0.047,0.0,0.0,0.7098765432098759,,0.9421182266009852
53.0,107.0,5.0,0.65,0.14,1000.0,0.6843538717077884,0.846,0.1959999999999999,0.1616461282922116,0.814,0.1639999999999999,0.1296461282922115,0.032,0.0489999999999999,0.0339999999999999,0.836734693877551,1.4411764705882366,0.9621749408983452
54.0,27.0,3.0,0.7,0.02,1000.0,0.7,0.769,0.069,0.069,0.769,0.069,0.069,0.0,0.0,0.0,1.0,,1.0
55.0,108.0,5.0,0.7,0.02,1000.0,0.7,0.833,0.133,0.133,0.833,0.133,0.133,0.0,0.0639999999999999,0.0639999999999999,1.0,1.0,1.0
56.0,28.0,3.0,0.7,0.03,1000.0,0.7000000000033366,0.766,0.066,0.0659999999966634,0.766,0.066,0.0659999999966634,0.0,0.0,0.0,1.0,,1.0
57.0,109.0,5.0,0.7,0.03,1000.0,0.7000000000033366,0.838,0.138,0.1379999999966633,0.837,0.137,0.1369999999966633,0.001,0.0709999999999999,0.0719999999999999,0.9927536231884058,0.986111111111111,0.9988066825775656
58.0,29.0,3.0,0.7,0.04,1000.0,0.7000000673659118,0.79,0.09,0.0899999326340882,0.79,0.09,0.0899999326340882,0.0,0.0,0.0,1.0,,1.0
59.0,110.0,5.0,0.7,0.04,1000.0,0.7000000673659118,0.842,0.142,0.1419999326340881,0.839,0.139,0.1389999326340881,0.003,0.0489999999999999,0.0519999999999999,0.97887323943662,0.9423076923076922,0.996437054631829
60.0,30.0,3.0,0.7,0.07,1000.0,0.7004890243522323,0.784,0.084,0.0835109756477677,0.78,0.08,0.0795109756477677,0.004,0.0,0.0,0.9523809523809524,,0.9948979591836736
61.0,111.0,5.0,0.7,0.07,1000.0,0.7004890243522323,0.831,0.131,0.1305109756477677,0.832,0.132,0.1315109756477677,-0.001,0.0519999999999999,0.0469999999999999,1.0076335877862594,1.1063829787234043,1.0012033694344165
