voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3,0.6,2.56,"TruncNorm[0.001,0.999]",1000,0.5012600754585549,0.28736679157324885,0.884,0.28400000000000003,0.3827399245414451,0.531,-0.06899999999999995,0.02973992454144514,0.353
3,0.65,0.02,"TruncNorm[0.001,0.999]",1000,0.65,0.02,0.732,0.08199999999999996,0.08199999999999996,0.732,0.08199999999999996,0.08199999999999996,0.0
3,0.65,0.04,"TruncNorm[0.001,0.999]",1000,0.65,0.039999999999999994,0.725,0.07499999999999996,0.07499999999999996,0.723,0.07299999999999995,0.07299999999999995,0.002
3,0.65,0.08,"TruncNorm[0.001,0.999]",1000,0.6499976482806836,0.07999487011320067,0.76,0.10999999999999999,0.11000235171931638,0.745,0.09499999999999997,0.09500235171931637,0.015
3,0.65,0.16,"TruncNorm[0.001,0.999]",1000,0.6440157333110005,0.15316131885192233,0.796,0.14600000000000002,0.15198426668899956,0.737,0.08699999999999997,0.0929842666889995,0.059
3,0.65,0.32,"TruncNorm[0.001,0.999]",1000,0.5856645387734013,0.23755986049657035,0.851,0.20099999999999996,0.2653354612265987,0.628,-0.02200000000000002,0.0423354612265987,0.223
3,0.65,0.64,"TruncNorm[0.001,0.999]",1000,0.5279526215413912,0.27575235566400014,0.849,0.19899999999999995,0.32104737845860876,0.517,-0.133,-0.010952621541391205,0.332
3,0.65,1.28,"TruncNorm[0.001,0.999]",1000,0.5074450532022363,0.28512813339240783,0.889,0.239,0.3815549467977637,0.525,-0.125,0.017554946797763704,0.364
3,0.65,2.56,"TruncNorm[0.001,0.999]",1000,0.5018901041420145,0.28736472862895734,0.864,0.21399999999999997,0.3621098958579855,0.491,-0.15900000000000003,-0.010890104142014523,0.373
3,0.7,0.02,"TruncNorm[0.001,0.999]",1000,0.7,0.02,0.774,0.07400000000000007,0.07400000000000007,0.774,0.07400000000000007,0.07400000000000007,0.0
3,0.7,0.04,"TruncNorm[0.001,0.999]",1000,0.6999999999999882,0.03999999999995612,0.801,0.10100000000000009,0.10100000000001186,0.798,0.09800000000000009,0.09800000000001186,0.003
3,0.7,0.08,"TruncNorm[0.001,0.999]",1000,0.6999704381940288,0.07994473182214225,0.776,0.07600000000000007,0.0760295618059712,0.767,0.06700000000000006,0.0670295618059712,0.009
