voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3,0.7,0.04,"TruncNorm[0.001,0.999]",1000,0.6999999999999882,0.03999999999995612,0.788,0.08800000000000008,0.08800000000001185,0.788,0.08800000000000008,0.08800000000001185,0.0
3,0.7,0.08,"TruncNorm[0.501,0.999]",1000,0.7014264121509118,0.07809796562816422,0.805,0.1050000000000001,0.10357358784908821,0.798,0.09800000000000009,0.0965735878490882,0.007
3,0.7,0.08,"TruncNorm[0.001,0.999]",1000,0.6999704381940288,0.07994473182214225,0.807,0.1070000000000001,0.10702956180597123,0.791,0.09100000000000008,0.09102956180597122,0.016
3,0.7,0.16,"TruncNorm[0.501,0.999]",1000,0.7212403603702423,0.12038126829781363,0.85,0.15000000000000002,0.12875963962975767,0.823,0.123,0.10175963962975765,0.027
3,0.7,0.16,"TruncNorm[0.001,0.999]",1000,0.6885151203927853,0.1484230627507326,0.836,0.136,0.14748487960721468,0.753,0.05300000000000005,0.06448487960721472,0.083
3,0.7,0.32,"TruncNorm[0.501,0.999]",1000,0.7407068605415329,0.13784144116631583,0.891,0.19100000000000006,0.15029313945846712,0.831,0.131,0.09029313945846706,0.06
3,0.7,0.32,"TruncNorm[0.001,0.999]",1000,0.6126969280273624,0.2328284215085219,0.846,0.14600000000000002,0.23330307197263755,0.687,-0.0129999999999999,0.07430307197263764,0.159
3,0.7,0.64,"TruncNorm[0.501,0.999]",1000,0.7475278660881964,0.1423001020684838,0.86,0.16000000000000003,0.11247213391180355,0.832,0.132,0.08447213391180353,0.028
3,0.7,0.64,"TruncNorm[0.001,0.999]",1000,0.537215225993422,0.2751427950128484,0.893,0.19300000000000006,0.35578477400657804,0.56,-0.1399999999999999,0.02278477400657808,0.333
3,0.7,1.28,"TruncNorm[0.501,0.999]",1000,0.7493724721854067,0.1433969127796196,0.887,0.18700000000000006,0.1376275278145933,0.845,0.14500000000000002,0.09562752781459327,0.042
3,0.7,1.28,"TruncNorm[0.001,0.999]",1000,0.5099257037274031,0.28508358943721684,0.862,0.16200000000000003,0.3520742962725969,0.523,-0.17699999999999994,0.01307429627259693,0.339
3,0.7,2.56,"TruncNorm[0.501,0.999]",1000,0.7498425221468892,0.14366950704336703,0.88,0.18000000000000005,0.13015747785311083,0.849,0.14900000000000002,0.0991574778531108,0.031
3,0.7,2.56,"TruncNorm[0.001,0.999]",1000,0.5025201219707741,0.28736184056113045,0.876,0.17600000000000005,0.3734798780292259,0.502,-0.19799999999999995,-0.0005201219707741123,0.374
3,0.75,0.02,"TruncNorm[0.501,0.999]",1000,0.75,0.02,0.839,0.08899999999999997,0.08899999999999997,0.839,0.08899999999999997,0.08899999999999997,0.0
3,0.75,0.02,"TruncNorm[0.001,0.999]",1000,0.75,0.02,0.841,0.09099999999999997,0.09099999999999997,0.841,0.09099999999999997,0.09099999999999997,0.0
3,0.75,0.04,"TruncNorm[0.501,0.999]",1000,0.75,0.0399999996175998,0.829,0.07899999999999996,0.07899999999999996,0.829,0.07899999999999996,0.07899999999999996,0.0
3,0.75,0.04,"TruncNorm[0.001,0.999]",1000,0.7499999999385702,0.0399999998087999,0.848,0.09799999999999998,0.09800000006142973,0.847,0.09699999999999998,0.09700000006142973,0.001
3,0.75,0.08,"TruncNorm[0.501,0.999]",1000,0.75,0.07921220791613157,0.832,0.08199999999999996,0.08199999999999996,0.825,0.07499999999999996,0.07499999999999996,0.007
3,0.75,0.08,"TruncNorm[0.001,0.999]",1000,0.7497483741565512,0.07960704648092498,0.848,0.09799999999999998,0.09825162584344882,0.839,0.08899999999999997,0.08925162584344881,0.009
3,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.121831827498384,0.871,0.121,0.121,0.842,0.09199999999999997,0.09199999999999997,0.029
3,0.75,0.16,"TruncNorm[0.001,0.999]",1000,0.7297751958636265,0.14196407909452044,0.866,0.11599999999999999,0.1362248041363735,0.803,0.05300000000000005,0.07322480413637356,0.063
3,0.75,0.32,"TruncNorm[0.501,0.999]",1000,0.75,0.13801598692405526,0.872,0.122,0.122,0.847,0.09699999999999998,0.09699999999999998,0.025
3,0.75,0.32,"TruncNorm[0.001,0.999]",1000,0.6385337571747727,0.227063364800983,0.866,0.11599999999999999,0.22746624282522732,0.73,-0.020000000000000018,0.0914662428252273,0.136
3,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.14231276150116073,0.872,0.122,0.122,0.84,0.08999999999999997,0.08999999999999997,0.032
3,0.75,0.64,"TruncNorm[0.001,0.999]",1000,0.5464311734952103,0.27436347860056404,0.876,0.126,0.3295688265047897,0.579,-0.17100000000000004,0.03256882650478965,0.297
3,0.75,1.28,"TruncNorm[0.501,0.999]",1000,0.75,0.14339773305719805,0.88,0.13,0.13,0.852,0.10199999999999998,0.10199999999999998,0.028
3,0.75,1.28,"TruncNorm[0.001,0.999]",1000,0.5124054686409275,0.2850263410111577,0.875,0.125,0.3625945313590725,0.503,-0.247,-0.009405468640927506,0.372
3,0.75,2.56,"TruncNorm[0.501,0.999]",1000,0.75,0.1436695587713499,0.884,0.134,0.134,0.852,0.10199999999999998,0.10199999999999998,0.032
3,0.75,2.56,"TruncNorm[0.001,0.999]",1000,0.5031501253270607,0.28735812742396716,0.906,0.15600000000000003,0.4028498746729393,0.539,-0.21099999999999997,0.03584987467293932,0.367
3,0.8,0.02,"TruncNorm[0.501,0.999]",1000,0.8,0.02,0.888,0.08799999999999997,0.08799999999999997,0.888,0.08799999999999997,0.08799999999999997,0.0
